stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,1.64,0,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0.81,0.81,0,0.81,0,0,0
 48-58,0.57,0,0,0,0,0,0,0,0,1.15,0,0,2.3,0,0,0,0,0,0
 60-70,0,0,1.96,0,0,0,0,0,0,1.96,2.94,0,1.96,0,0,0,0,0,0
 72-82,1.96,0.98,3.93,0,0,0.98,0,0,0,0.98,3.93,0,1.96,0,0,2.94,0,0.98,0
 84-94,5.31,0,7.43,0,0,1.06,1.06,0,0,2.12,1.06,0,1.06,0,0,9.56,0,0,1.06
 96-106,13.11,1.09,5.46,0,0,2.19,5.46,0,1.09,1.09,7.65,1.09,2.19,0,1.09,78.68,0,0,0
108-118,23.74,0.77,20.68,0,1.53,4.6,3.83,0,0,1.53,4.6,0,3.06,0,0,46.72,0,0,0
120,5.88,0,3.92,1.96,0,0,1.96,1.96,0,1.96,9.8,0,3.92,0,0,172.46,0,0,0
