stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,10,0,0,0,2,2,2,3,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0.82,0,0,0,0,0,1.64,0,0,0,0.82,0,0.82,4.93,0,0,0,19.7,0.82,0,0.82,5.75,0,0,5.75,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,3.22,0,1.61,0,0.81,0,0,0,0,0,0,0,0.81,4.03,0,0.81,0,8.86,0,0,0.81,2.42,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0.57,0,0.57,0.57,2.3,0,0,0,0,0,0,0,0,5.16,0.57,0,1.15,2.3,0.57,0,0.57,2.3,0,0,2.3,0,0,1.15,0,0.57
 60-70,0,0,0,0,0,0,0,0,0.98,0.98,1.96,0,0,0,0,0,0,0,0,6.87,0,0,0,4.91,0,0,0,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,0,0.98,0.98,0,0,4.91,0.98,0,0,0,0,0,0,0,9.82,0.98,0,0,0.98,0.98,0,0,0,0,0,0.98,0.98,0,0,0,0
 84-94,0,0,0,2.12,0,0,3.19,0,0,0,4.25,1.06,1.06,3.19,0,0,0,0,0,5.31,0,0,0,2.12,0,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,3.28,0,0,1.09,1.09,3.28,0,0,0,0,1.09,0,0,6.56,0,0,1.09,5.46,1.09,0,0,3.28,0,0,0,0,1.09,1.09,0,0
108-118,0,0,0.77,3.83,0.77,1.53,0,0,2.3,0,2.3,3.06,0,3.06,0,0.77,0,2.3,1.53,3.83,0,0,0,1.53,0,0,0,1.53,0,0,0,0,0.77,0.77,0.77,0
120,0,0,0,1.96,0,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,1.96
