stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,2,0,0,1,3,0,1,0,0
 24-34,8.21,0.82,6.57,0.82,0.82,0,0.82,0,0,0.82,0,1.64,0,0,0,0,1.64,1.64,0,3.28,27.91,1.64,0,0,0,4.1,0,0.82,0,1.64,4.93,0,0.82,0,0.82
 36-46,3.22,0,0.81,0,2.42,0,0,0,0,0,0,1.61,0,0.81,0,0.81,2.42,0,0,0,12.09,0,0,0,0,6.45,0,0.81,0.81,0,2.42,0,0,0,0
 48-58,3.44,0,1.72,2.3,1.15,0,1.72,0,2.87,0,0.57,0.57,0,0,0,0,5.16,1.72,0,0.57,8.03,0,0,0,0,1.72,0,0.57,0.57,0,3.44,0,1.72,0,0
 60-70,10.8,0,7.85,1.96,13.74,0.98,17.67,0,5.89,1.96,0.98,3.93,0,0.98,0,0,24.54,5.89,1.96,0,12.76,0,0,1.96,0,15.7,0,2.94,0.98,0,2.94,0,0.98,0,0.98
 72-82,9.82,0,3.93,0.98,1.96,0.98,4.91,2.94,0.98,0,0,1.96,1.96,0.98,0.98,0,7.85,3.93,0,0,1.96,0,0.98,0,0,6.87,0,3.93,0,0,0,0,3.93,0.98,0.98
 84-94,8.5,0,5.31,0,4.25,1.06,1.06,1.06,4.25,0,0,2.12,0,1.06,0,0,7.43,4.25,1.06,2.12,4.25,1.06,0,0,0,8.5,0,2.12,0,0,2.12,0,4.25,0,0
 96-106,8.74,0,5.46,0,2.19,0,4.37,6.56,0,0,3.28,2.19,0,1.09,1.09,0,4.37,2.19,0,1.09,5.46,0,0,1.09,1.09,13.11,0,0,1.09,0,2.19,0,3.28,0,0
108-118,11.49,0,1.53,0,6.89,0,0.77,5.36,0,1.53,2.3,0.77,0,0,0.77,0,8.43,2.3,0.77,0,6.89,0,0,1.53,0,9.19,0,2.3,0,0,1.53,1.53,3.06,0,0.77
120,11.76,0,3.92,0,1.96,0,3.92,1.96,0,0,0,1.96,0,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0,7.84,0,3.92,0,0,0,0,0,0,0
