stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,pgc,spinal_cord
  3-4,39.53,131.78,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,2.63,2.63,2.63,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0
 14-21,0,0,2,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,5.64,0,0,0
 48-58,0,0,0,0.57,0,0,0,5.16,0,0,0.57
 60-70,0,0,0,0,0.98,0.98,0,7.85,0,0,0
 72-82,0,0,0,0,0,0,0,3.93,0,0,0
 84-94,0,0,0,2.12,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,3.28,0,0,0
108-118,0,0,0,0.77,0,0,0.77,3.06,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0
