stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,25.18,0,0,0,3.15,9.44,0,0,0,0,0,0,0,0
 14-21,0,14,3,11,15,0,35,0,1,0,0,10,0,7,3,11,0,0,3,5,19,1,0,9,164,1,7,0,0,0,1,1,2,5,1,40,56,0,0,12,0,3
 24-34,0,13.95,0.82,6.57,0,0,55,0,2.46,0.82,3.28,0.82,0.82,7.39,11.49,16.42,0.82,0,10.67,39.4,7.39,4.93,0,9.03,279.09,0,13.95,3.28,0,0,4.1,0.82,0,7.39,0,2.46,64.03,0,0,23.8,0,4.1
 36-46,0,7.25,0,2.42,0,0,53.17,0.81,1.61,1.61,6.45,0.81,4.83,4.03,18.53,8.06,1.61,0.81,4.83,35.45,20.14,2.42,0,1.61,339.99,0.81,6.45,0.81,0,0.81,0,0.81,0,5.64,0,0,87.01,0,0,17.72,0,6.45
 48-58,0,4.02,0,5.16,0,0,89.51,1.15,0.57,1.72,5.74,0,21.8,6.89,30.41,5.74,0,1.15,7.46,37.3,25.82,1.72,0,9.18,207.72,0,1.72,1.15,0,0,1.72,0.57,0,3.44,1.15,0,60.25,0,0,15.49,0,9.75
 60-70,0,5.89,0,18.65,0.98,0,216.92,0.98,0,1.96,26.5,1.96,6.87,7.85,56.93,4.91,1.96,3.93,2.94,19.63,51.04,0.98,0,6.87,435.8,0,1.96,2.94,0,0.98,18.65,0,0,3.93,0,0,88.34,0.98,2.94,16.69,0.98,18.65
 72-82,0,10.8,0.98,55.95,2.94,0,241.49,0,3.93,16.69,89.33,6.87,5.89,14.72,93.26,11.78,0,4.91,3.93,29.45,205.17,8.83,11.78,20.61,450.58,0.98,1.96,13.74,0,2.94,203.2,0,0,2.94,0.98,0,73.62,1.96,4.91,64.79,9.82,21.6
 84-94,0,9.56,0,81.78,3.19,0,176.3,1.06,28.68,14.87,48.85,7.43,8.5,9.56,133.82,31.86,4.25,2.12,4.25,39.3,127.44,18.05,7.43,11.68,265.51,0,4.25,9.56,0,0,575.62,0,0,5.31,3.19,0,37.17,4.25,4.25,59.47,10.62,29.74
 96-106,0,13.11,0,291.79,7.65,0,190.16,18.58,62.29,17.49,116.93,16.39,1.09,13.11,148.63,36.06,3.28,8.74,14.21,28.41,242.61,27.32,15.3,33.88,369.38,1.09,3.28,26.23,0,6.56,862.26,2.19,0,5.46,4.37,0,27.32,5.46,9.84,92.89,15.3,31.69
108-118,0,4.6,1.53,294.13,7.66,3.83,156.26,22.98,91.15,22.98,98.81,16.85,0,3.06,119.49,43.66,11.49,1.53,8.43,31.4,223.66,34.47,13.02,22.21,350.05,1.53,6.13,16.09,0,8.43,638.81,0,0,7.66,11.49,0,19.15,8.43,8.43,85.02,10.72,28.34
120,0,5.88,0,152.86,13.72,0,94.07,17.64,35.28,17.64,66.63,7.84,0,1.96,131.31,5.88,3.92,7.84,1.96,7.84,154.82,25.48,9.8,21.56,354.72,0,3.92,9.8,0,7.84,386.08,0,0,3.92,7.84,0,13.72,0,5.88,56.83,13.72,9.8
