stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,6,1,0,8,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,50,2,1,3,1,2,0,19,0,0,0,0
 24-34,0,0,1.64,0,0,8.21,0,0,0,2.46,0.82,0,8.21,0,0,0,1.64,0,1.64,0,0,0,72.24,0,1.64,0.82,0.82,6.57,0,8.21,0,0,0,0
 36-46,0,0,0.81,0,0,4.83,0,0,0,0,4.03,0,5.64,0,0,0,2.42,0,0.81,0,0,1.61,37.06,0,0,2.42,0.81,1.61,0,8.86,0,0.81,0,0
 48-58,0,0,0.57,0,0,17.79,0,0,0,2.3,25.82,0,13.2,0,0,0,5.74,0,1.72,0,0,0,33.28,0,0,0.57,0,2.87,0,2.3,0,0,0,0
 60-70,1.96,0,0.98,0,0,17.67,0,0,0,3.93,53.98,0,13.74,0,0.98,0,9.82,0,7.85,0,0,0,24.54,0,0.98,0,1.96,12.76,0.98,0,0.98,0.98,0,0
 72-82,5.89,0,2.94,0.98,0,12.76,0.98,0,0,9.82,171.79,0,30.43,0,0,0,57.92,0,7.85,0.98,1.96,0,51.05,0.98,0,1.96,0.98,45.16,0.98,1.96,0.98,1.96,0.98,1.96
 84-94,3.19,0,4.25,2.12,0,11.68,0,0,0,7.43,320.74,1.06,25.49,0,1.06,2.12,114.7,0,3.19,0,0,0,38.23,0,1.06,0,4.25,104.08,0,3.19,0,1.06,0,0
 96-106,2.19,0,2.19,4.37,0,14.21,0,0,1.09,8.74,377.03,0,32.79,0,1.09,1.09,272.12,0,15.3,0,0,0,79.78,0,2.19,3.28,9.84,138.79,0,1.09,0,1.09,1.09,1.09
108-118,0,0,4.6,0.77,0.77,13.02,0,1.53,0,7.66,367.66,0.77,29.11,0.77,0,0,324.77,0.77,8.43,0,0,3.83,66.64,0,1.53,0.77,0.77,134.04,0,0.77,0,1.53,0,0
120,0,3.92,3.92,3.92,0,11.76,0,1.96,0,5.88,205.78,0,37.24,0,1.96,1.96,156.78,0,5.88,0,0,0,23.52,3.92,1.96,0,1.96,82.31,0,0,1.96,0,0,1.96
