stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,0,93,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,8,0,0,0,2,0,2,0,1,2,3,0,0,97,0,0
 24-34,0,0.82,0.82,0.82,11.49,0,0,0,0,0,0,14.78,0,0.82,0,0,0,1.64,0,1.64,29.55,0.82,0,0,2.46,0,0,1.64,0,0.82,9.85,0,0,377.59,0,0
 36-46,0,0,0,1.61,3.22,0,4.83,0,0,0.81,0,14.5,0,0,0,0,0.81,4.03,0,0,58.81,0,0,0,1.61,0,0,0,0,0,20.14,0,0,237.67,0,0
 48-58,0,0,0,0,1.15,0,7.46,0,0,2.87,0,28.69,0.57,0,0,0,0,5.74,0,0,53.94,0.57,0,0,1.15,0,0,0,0,0,10.33,0,0,206.57,0,0.57
 60-70,0.98,0,0,0,0.98,0,6.87,0,0,15.7,0,28.46,0,0,0,0,0,31.41,0,0,84.41,0.98,0,0.98,0,0,0,0,0,0,10.8,0,0,185.51,0,0
 72-82,0,0,0,0.98,0.98,0,14.72,0,0,53.01,0,42.21,1.96,0,0,0.98,0,72.64,1.96,0,64.79,0.98,1.96,0,0.98,0.98,0,0,0,0,6.87,0,1.96,363.21,2.94,0.98
 84-94,0,0,1.06,1.06,3.19,0,6.37,0,1.06,26.55,0,31.86,1.06,0,0,0,0,31.86,1.06,1.06,18.05,0,0,0,0,0,0,0,0,0,1.06,0,2.12,339.85,1.06,0
 96-106,0,0,0,3.28,7.65,0,19.67,0,1.09,53.55,0,59.01,4.37,0,1.09,0,0,67.76,3.28,3.28,38.25,3.28,1.09,1.09,1.09,0,0,2.19,0,0,1.09,0,0,460.09,1.09,1.09
108-118,0.77,0,0,1.53,1.53,0.77,7.66,0.77,0.77,32.17,0,28.34,1.53,0,1.53,1.53,0,68.17,0.77,1.53,26.04,0.77,0.77,2.3,0.77,0,0,1.53,0,0,1.53,0.77,0.77,365.36,1.53,0.77
120,0,0,0,7.84,3.92,0,9.8,0,0,45.08,1.96,37.24,0,0,0,1.96,0,33.32,5.88,0,23.52,1.96,1.96,1.96,5.88,0,0,0,0,0,0,0,3.92,346.88,0,0
