stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0.82,0,2.46,0,0,0,60.74,0,0.82,0.82,0,0,0,0,0,19.7,0,0,1.64,0,0
 36-46,0,0,0.81,0.81,0,0.81,0,0,1.61,0,0,0,0,0,0,1.61,0.81,0,0.81,178.86,0,0,0,0,0,0,0,0,35.45,0,0,0,0,0
 48-58,0,0,0,0,0,10.9,0,0,1.15,0,0,0,0,0.57,0,0.57,0,0,0,227.8,0,1.15,0,0,0.57,0.57,0,0,36.15,0,0,0,0,0
 60-70,0,0,0.98,0,0,43.19,0.98,0.98,1.96,0,0,0,0,0,0.98,4.91,0,0,0,502.54,0,0.98,0,0,0.98,0,0,0.98,38.28,0,0,0.98,0,0.98
 72-82,0,0,1.96,0,0,78.53,0,0,12.76,0,0,0,0,0,0,10.8,0,0.98,0.98,599.8,0,0.98,0.98,0,0,1.96,0,0,32.39,0,0.98,0.98,0.98,0
 84-94,0,0,2.12,4.25,0,72.22,1.06,0,7.43,2.12,1.06,0,0,0,0,9.56,0,0,0,317.55,0,0,2.12,0,1.06,4.25,0,0,20.18,0,0,0,1.06,0
 96-106,0,1.09,3.28,0,0,39.34,0,0,8.74,0,0,1.09,0,1.09,0,5.46,1.09,0,1.09,274.3,0,1.09,0,0,0,4.37,0,0,8.74,0,0,2.19,1.09,0
108-118,0,0,6.13,0.77,0.77,38.3,0.77,0,9.96,0,0.77,0.77,0.77,0,0,3.83,0,0,0,366.13,0,0.77,0,0,0,0,0,0,6.89,1.53,0,0,0,0
120,0,0,3.92,0,0,29.4,0,1.96,7.84,0,0,0,0,0,0,9.8,0,0,0,397.84,1.96,0,0,0,0,1.96,0,0,19.6,0,0,0,0,0
