stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,88.12,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,8,65,12,0,27,0,0,0,12,1,0,1,0,0,0,0,0,0,45,0,0,59,509,24,1,0,0,0,0,1,1,0,46,194,0,0,0,0,0
 24-34,0,0,4.1,37.76,1.64,0,21.34,0,0,0,23.8,0.82,0,1.64,0,0,0,4.93,0,0,89.47,0,0,50.89,1232.93,7.39,0.82,3.28,0,0,18.06,0,0.82,0,8.21,285.66,0,0,17.24,0,0
 36-46,0,0,0,19.34,0.81,0,20.14,0.81,3.22,0.81,36.26,1.61,0,0.81,0,0,0,1.61,0,0,80.57,0,3.22,33.84,1368.03,8.86,1.61,0,0,0.81,21.75,0,0,0,0,363.36,0,0,9.67,0,0
 48-58,1.15,0,0,24.67,0,0,143.45,0.57,2.87,1.72,69.43,0.57,0,0.57,2.3,0,0.57,2.3,0,1.15,170.42,0,6.89,26.97,1651.98,3.44,1.15,2.3,0,0,5.74,0,0.57,0.57,0,398.22,0,0,13.77,0,0.57
 60-70,0,0,0,29.45,1.96,0,214.95,0.98,5.89,1.96,60.85,1.96,0,1.96,0.98,0.98,0,1.96,0.98,0,170.78,0,11.78,26.5,1323.09,4.91,1.96,1.96,0,0,7.85,0,0,0.98,0,236.55,0,3.93,13.74,1.96,0.98
 72-82,0,0.98,0,31.41,1.96,0,244.43,0.98,0,5.89,97.18,0.98,0,0,0,0,1.96,4.91,0,0,267.99,1.96,30.43,30.43,978.72,0,0,4.91,0,0.98,6.87,0,0,0.98,0,111.91,2.94,11.78,39.27,21.6,0.98
 84-94,0,1.06,0,52.04,1.06,0,174.17,2.12,2.12,2.12,58.41,6.37,0,3.19,0,0,1.06,3.19,0,0,152.93,1.06,19.12,10.62,446.06,5.31,0,6.37,0,0,5.31,0,0,0,0,43.54,1.06,12.74,32.92,11.68,1.06
 96-106,0,0,0,24.04,5.46,1.09,106.01,0,3.28,2.19,33.88,6.56,0,0,0,1.09,1.09,4.37,4.37,0,102.73,1.09,10.93,15.3,336.6,1.09,1.09,3.28,0,1.09,3.28,0,0,0,0,22.95,0,7.65,30.6,21.86,0
108-118,0,0.77,0,42.13,0,0,94.98,2.3,2.3,1.53,51.32,4.6,0,0,0,0,0,0,0.77,0,94.98,1.53,7.66,9.19,331.66,0.77,0.77,3.06,0,1.53,4.6,0,0,0,0,13.79,0,5.36,19.15,10.72,0
120,0,0,0,92.11,0,0,119.55,1.96,7.84,1.96,60.75,7.84,1.96,1.96,0,0,1.96,5.88,0,0,137.18,0,15.68,21.56,607.53,5.88,0,0,0,7.84,1.96,0,1.96,0,0,11.76,0,5.88,39.2,13.72,0
