stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,9,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,42,2,0,0,0,2,1,4,1,0,6,11,0,0,0,0,0
 24-34,0,0,0,2.46,0.82,4.1,0,0.82,0,0,0.82,0,0,0,0,0,9.85,0,0,2.46,9.85,0,0,0,0,3.28,0,0,0,1.64,1.64,6.57,0,0,4.1,0,1.64
 36-46,0,0,0,0.81,0,0.81,4.03,0,0,1.61,0,0,1.61,0,0,0,4.03,0,0,1.61,11.28,0,0,0,0,4.83,0,0,0,0,0,4.03,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,3.44,2.3,1.15,0.57,1.15,0,0,0,0,0,0,2.87,0,0,1.72,6.89,0,0,0,0,1.15,0.57,0,0,0.57,0,2.87,0,0,1.15,0,0
 60-70,0,0,0,0,0,1.96,1.96,0,0,0.98,0,0,0,0,0,0,3.93,0,0,0,7.85,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,3.93,1.96,4.91,2.94,0,0,5.89,0,0,0.98,0,0,0,14.72,0,0.98,0.98,28.47,1.96,0,0,0,0.98,0,0,0.98,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,3.19,0,4.25,0,0,2.12,0,0,0,5.31,1.06,0,1.06,5.31,1.06,0,3.19,11.68,2.12,0,0,0,7.43,0,0,0,1.06,0,0,0,0,2.12,1.06,0
 96-106,0,0,0,3.28,0,9.84,0,0,0,5.46,0,1.09,2.19,1.09,3.28,2.19,9.84,0,1.09,0,21.86,0,1.09,0,0,7.65,0,0,0,0,0,1.09,0,1.09,2.19,0,1.09
108-118,0,0,0,6.13,0,13.02,0.77,1.53,0.77,1.53,0,0,3.06,0.77,0.77,0.77,11.49,0,0.77,0.77,25.28,1.53,0,0.77,0,6.13,0.77,0,0.77,0,0,0,1.53,0,3.06,0.77,0.77
120,0,0,0,0,0,11.76,1.96,0,1.96,1.96,1.96,0,0,0,0,0,9.8,0,0,3.92,11.76,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
