stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,5.26,0,0,13.14,0,39.43,0,0,0,0,0,0,0,0,0
 10-12,9.44,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,97.56,6.29,0,0,34.62,0,28.32,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,5,18,0,0,1,1,0,275,2,1,2,12,0,0,0,0,0
 24-34,0,0,1.64,0,9.03,0,0,0,3.28,0.82,0,0.82,0,0,0,0,0,14.78,2.46,0,8.21,72.24,2.46,0,0,0,0,948.91,0,0,3.28,11.49,0,0,6.57,0,0.82
 36-46,0,0,1.61,0.81,10.47,0,4.83,0,7.25,0,0,0,0,2.42,0,0,1.61,14.5,4.83,0.81,0.81,55.59,0,0,0,0,0,885.43,0,0,0,17.72,0,0,0.81,0,0
 48-58,0,0,3.44,0,14.92,0.57,5.74,0.57,10.33,0,0,0.57,1.15,0.57,0,0.57,0.57,16.64,4.59,0,1.72,43.61,0,1.15,0.57,0,0,808.49,0,0.57,0,8.61,0,0,0,0,1.15
 60-70,0,0,0.98,0,18.65,0,4.91,0,6.87,0,0,0,0,1.96,0,0,0,17.67,2.94,0.98,1.96,28.46,0,0,0,0,0.98,447.57,0,0,0,6.87,0,0,0,0,0
 72-82,0,0,5.89,0.98,12.76,0.98,0.98,0.98,8.83,0,0,0,0,3.93,1.96,0,0,27.49,1.96,2.94,5.89,14.72,0.98,0,0,0,0,292.54,0,0,0,4.91,0.98,0,1.96,0.98,0
 84-94,0,0,2.12,1.06,7.43,0,7.43,1.06,7.43,0,0,0,0,8.5,0,0,0,20.18,9.56,0,1.06,19.12,0,0,1.06,0,0,857.06,0,0,0,2.12,1.06,1.06,0,0,0
 96-106,0,0,12.02,0,18.58,0,3.28,4.37,12.02,0,0,0,1.09,5.46,0,1.09,0,14.21,7.65,1.09,3.28,18.58,1.09,2.19,1.09,0,0,519.1,0,1.09,0,3.28,0,0,1.09,3.28,0
108-118,0,0,13.79,2.3,6.13,0,3.06,1.53,3.83,0,0,0,2.3,5.36,1.53,0,0,8.43,4.6,0.77,1.53,16.09,0,0,1.53,0,0,438.9,0,1.53,0,1.53,0,0.77,1.53,0.77,0.77
120,0,0,5.88,0,5.88,0,3.92,0,7.84,0,0,0,0,1.96,1.96,0,0,9.8,1.96,1.96,1.96,33.32,0,0,0,0,0,262.61,0,1.96,0,0,0,0,1.96,1.96,0
