stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,67.43,429.07,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,13.14,0,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,152.47,2.63,0,0,36.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,100.7,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,12,5,8,0,0,1,0,0,0,0,0,0,0,9,0,0,5,61,1,0,1,0,0,12,2,6,24,0,0,2,0,0
 24-34,0,0,0,1.64,0,11.49,0,0,2.46,0.82,0,0.82,0,0,0,0,11.49,0,0,4.93,111.64,1.64,0,0,0,4.1,0,0.82,0,31.19,0,0,0.82,0,0
 36-46,0,0,0,1.61,0,16.92,0,0.81,2.42,0,0,0,0,0,0,0,11.28,0,0.81,5.64,100.71,0.81,0.81,0,0,0.81,0,0,0,29,0,0,0.81,0,0
 48-58,0,0,0,2.87,0,19.51,0,0,7.46,0.57,0,0,0,0,0,0,16.64,0,0.57,0,48.77,0,0,0.57,0,1.15,0,0.57,0,12.62,0,0,1.15,0,1.15
 60-70,0,0,0,3.93,1.96,29.45,0,0.98,4.91,0.98,0,0,0,0,0,0,17.67,0,0,1.96,37.3,0.98,0.98,0,0,0.98,0,0,0,12.76,0,0,0,0,0
 72-82,0,0,0,1.96,0,20.61,0,0,10.8,0,0,0,0,0,0.98,0.98,17.67,0,0,3.93,39.27,0,1.96,0,0,2.94,0,0,0,1.96,0,0.98,2.94,0,0
 84-94,0,0,0,3.19,0,5.31,1.06,1.06,2.12,2.12,0,2.12,0,0,1.06,2.12,9.56,0,1.06,2.12,16.99,0,1.06,1.06,0,1.06,0,0,0,2.12,1.06,0,0,0,0
 96-106,0,0,0,2.19,0,8.74,0,1.09,5.46,0,0,0,0,1.09,0,0,5.46,0,0,1.09,12.02,0,0,2.19,0,4.37,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0,3.83,1.53,4.6,0,0,3.83,1.53,0,0,1.53,0.77,0,0.77,8.43,0,0,3.06,13.02,0,0.77,1.53,0,1.53,0,0,0,0.77,0,0,0,0.77,0
120,0,0,0,5.88,3.92,3.92,0,0,3.92,0,0,0,1.96,0,0,0,5.88,1.96,0,0,15.68,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
