stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,18.4,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,18.88,0,9.44,0,12.59,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,15,1,0,6,2,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,13.95,0,0,0,0.82,0
 36-46,0,0,0,4.03,0.81,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0,25.78,0,0,0,0.81,0
 48-58,0,0,0,1.72,1.72,0,0,0,0,0,0,1.15,0,0,0.57,4.02,0,0.57,0,0,0,43.04,0,0,0,0,0.57
 60-70,0,0,0,2.94,0,0,0.98,0,0,0,0,0,0.98,0,0,3.93,0,0,0,0,0,34.35,0,0,0,0.98,0
 72-82,0,0,0,1.96,2.94,0.98,0.98,0,1.96,0,0,0.98,0,0,0,12.76,0,0.98,0.98,0,0,116.82,0,0,0,1.96,0
 84-94,0,0,0,10.62,0,0,3.19,0,9.56,0,0,0,4.25,1.06,0,2.12,0,0,1.06,0,0,300.56,0,0,0,0,0
 96-106,0,0,0,8.74,2.19,0,5.46,0,5.46,1.09,0,3.28,7.65,0,0,8.74,0,0,0,0,0,296.16,0,0,0,0,0
108-118,0,0,0,9.96,0,0,7.66,0.77,7.66,0,0,0.77,4.6,0,0,2.3,0,0,0,0,0,183.83,0,0,0,0,0
120,0,0,0,15.68,1.96,0,3.92,0,1.96,0,0,1.96,3.92,0,0,5.88,0,0,0,0,1.96,225.38,0,0,0,0,0
