stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,liver,mesenchyme,muscle,neural,otic,periderm,slow.muscle,somites,spinal.cord
 14-21,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,5,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0.98,0.98,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,3.06,0,1.53,0.77,0,0.77,0,0.77,0,0,0.77,2.3,1.53,0.77,0.77,0,0,0
120,17.64,0,0,0,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0,1.96
