stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,iridophores,liver,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0.82,0.82,0,62.39
 36-46,0,0,0.81,0,0,0.81,0,0,0,0.81,1.61,0,1.61,0,0,0,0.81,0.81,0,107.96
 48-58,0,0,0,0,0,2.3,0,0,0.57,0.57,4.02,1.72,6.89,0,0,0,0,0.57,0,86.07
 60-70,0,0,0,0,0,0,0,0.98,0,0.98,8.83,1.96,1.96,0,0,0.98,0,0,0,53.98
 72-82,0,1.96,0,0,0,3.93,0.98,2.94,0,0,5.89,1.96,7.85,0,0,0,0,0,0,56.94
 84-94,0,7.43,0,0,1.06,7.43,0,6.37,0,0,22.3,1.06,5.31,1.06,0,1.06,1.06,2.12,0,25.49
 96-106,1.09,4.37,1.09,0,0,6.56,1.09,5.46,0,0,20.76,0,2.19,1.09,0,1.09,1.09,1.09,0,59.01
108-118,0,8.43,1.53,0.77,2.3,2.3,0,4.6,0,0,27.57,2.3,4.6,0,0,0.77,0,0,0.77,65.87
120,0,1.96,1.96,0,0,1.96,0,1.96,0,1.96,11.76,0,0,0,0,1.96,0,0,0,27.44
