stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,2.46,0,0,0,0,0,0.82,0.82,0,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0,0,0,0,0.81,0,0,0.81
 48-58,0,0,0,0,1.15,0,0,0,0.57,0.57,1.72,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,1.09,0,0,0,2.19,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,2.3,0,0,0.77,0,0,2.3,0,0,0.77,0,0,0,0,0.77,0
120,0,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0
