stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
 24-34,2.46,1.64,0.82,0,0,0,0.82,114.1,0,0,1.64,4.1,0,0,0.82,9.85,0,0,0.82,0,0,0,1.64,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,140.19,0,0,2.42,1.61,0,0,0,6.45,0,0.81,0,0,0,0.81,2.42,0,0,0,0,0
 48-58,0,0,0,5.16,0,1.72,0,128.53,0,0,0,3.44,0,0,1.15,14.92,0,0,0,0,0,0,3.44,0,0,0.57,0,1.15
 60-70,0,0,0,1.96,0.98,0.98,0,141.34,0,0,0,2.94,0,0.98,0,10.8,0,0.98,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,2.94,6.87,0.98,1.96,0,170.81,0,0,0,2.94,0,0,0.98,13.74,0,0,0,0.98,1.96,0,0,0,0.98,0,0,0
 84-94,0,0,0,4.25,0,1.06,1.06,237.9,1.06,0,0,2.12,0,0,0,6.37,1.06,0,0,2.12,0,0,0,1.06,0,1.06,0,0
 96-106,0,7.65,4.37,4.37,1.09,4.37,2.19,303.81,0,2.19,0,5.46,1.09,0,1.09,12.02,0,1.09,1.09,1.09,0,1.09,0,0,0,6.56,1.09,0
108-118,0,1.53,2.3,6.13,0,2.3,0.77,238.98,0.77,0,1.53,5.36,0,0,0.77,19.92,0.77,0,0,1.53,0,0,0,0,0,3.06,0,0
120,0,5.88,1.96,1.96,0,0,0,341,0,1.96,0,7.84,0,0,0,13.72,0,0,0,3.92,0,0,1.96,0,0,0,1.96,0
