stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,711.61,11069.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.65,0,0,0,0,0,0,0,0,0,0
  5-6,986.87,11535.97,0,42.91,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,447.46,73.56,0,0,159.37,0,386.17,0,0,0,0,0,0,0,0,0,0
  7-9,286.53,278.64,0,449.51,0,0,0,862.22,0,0,0,0,0,273.39,0,0,0,0,0,0,0,0,0,0,0,7644.3,268.13,0,0,3059.82,0,73.6,49.95,0,0,0,0,0,0,0,0,0
 10-12,6.29,163.64,0,217.14,0,37.76,0,459.46,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,3694.54,103.85,0,0,1095.15,0,12.59,25.18,6.29,103.85,0,9.44,6.29,0,0,0,0
 14-21,0,0,1,15,131,26,0,45,0,1,0,16,8,0,3,0,0,0,0,0,1,87,0,0,61,487,14,2,23,12,0,5,5,82,6,4,80,179,0,6,0,0
 24-34,0,0,0,6.57,50.89,1.64,0,46.79,0,6.57,1.64,20.52,1.64,0,4.1,0,2.46,0,0,0.82,0,108.35,0.82,0.82,61.56,588.55,5.75,3.28,8.21,0,0,0.82,0.82,2.46,0,0,13.95,147.75,0,13.13,0,0
 36-46,0,0,0,1.61,16.92,2.42,0,67.68,0,0.81,2.42,38.67,0,0,2.42,0,0.81,0,0.81,0.81,0,121.66,0,0.81,33.84,332.74,0.81,4.83,14.5,0,0.81,0.81,1.61,0.81,0,0,0,115.21,0,5.64,0.81,0
 48-58,0,0,0,0,6.89,0,0,59.1,0,0.57,4.02,49.35,0,0,2.87,0.57,0,0.57,1.72,0.57,1.15,118.2,0,2.87,21.8,96.4,1.15,1.15,6.31,0,0,0.57,0.57,0,0,0,0,43.61,1.15,5.16,0,1.72
 60-70,0,0,0,0,10.8,0,0,46.13,0.98,2.94,3.93,91.28,2.94,0,1.96,0,0,0.98,0.98,0,0,146.25,0,8.83,16.69,37.3,0.98,0.98,4.91,0.98,0,0.98,0,0,0,0,0,26.5,3.93,4.91,0,0
 72-82,0,0,0.98,0.98,10.8,0.98,0,29.45,0,0.98,4.91,123.69,3.93,0,3.93,0,0.98,0,3.93,0,0,196.33,0,12.76,15.71,46.14,0.98,4.91,10.8,0,0.98,0.98,0,0,0.98,0,0,14.72,0.98,10.8,6.87,0.98
 84-94,0,0,1.06,1.06,23.36,2.12,0,29.74,0,8.5,7.43,43.54,7.43,1.06,5.31,4.25,1.06,1.06,1.06,0,0,135.94,0,3.19,9.56,42.48,2.12,3.19,13.81,0,1.06,0,0,0,1.06,0,0,7.43,4.25,9.56,2.12,1.06
 96-106,0,0,0,0,16.39,1.09,1.09,29.51,0,1.09,3.28,76.5,4.37,0,4.37,2.19,1.09,0,1.09,1.09,1.09,171.58,0,4.37,14.21,64.48,4.37,2.19,21.86,0,2.19,1.09,0,0,1.09,0,0,5.46,5.46,6.56,6.56,1.09
108-118,0,0,0,0.77,30.64,3.06,0,14.55,0,7.66,4.6,67.4,2.3,0,0.77,2.3,0,3.06,3.06,1.53,0.77,133.28,2.3,3.06,15.32,46.72,3.06,0.77,16.85,0,2.3,0,0,0,0,0,0,2.3,2.3,7.66,0.77,3.06
120,0,0,0,0,39.2,1.96,1.96,21.56,0,3.92,3.92,60.75,3.92,0,1.96,1.96,0,0,1.96,1.96,0,97.99,0,0,3.92,64.67,3.92,0,5.88,0,0,0,0,0,0,0,0,5.88,3.92,9.8,5.88,0
