stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.06,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,10.51,68.35,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,6.29,6.29,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,26,2,6,0,0,0,0,2,1,0,3,0,0,1,11,5,0,0,0,16,1,0,0,1,81,0,1,1,16,0,0,0,0
 24-34,0,0,0,0.82,33.66,0,4.93,0,2.46,0,0.82,0,0,0,6.57,0,1.64,0.82,18.88,6.57,7.39,0,0.82,49.25,0,14.78,1.64,0,265.14,0,0,0,16.42,0,0,0,1.64
 36-46,0,0,0,0,20.14,0,0.81,0,2.42,0,2.42,0,0.81,0,2.42,2.42,2.42,0,9.67,4.83,12.09,0,0,48.34,0,13.7,0.81,0,277.96,0,0,0,10.47,0,0,0,0.81
 48-58,0,0,0,0,12.62,0.57,3.44,0,8.03,0,1.72,0,3.44,0,0,1.72,3.44,0.57,2.3,2.3,11.48,0.57,1.15,32.71,0.57,5.74,0,0,195.67,0,0,0,8.03,0,0,0,0.57
 60-70,0,0,0.98,0,22.58,0.98,3.93,0.98,15.7,0.98,1.96,1.96,1.96,0,2.94,2.94,2.94,0,0,2.94,10.8,0,0,22.58,0,6.87,1.96,0,197.29,0,0,0,11.78,0,1.96,0,0
 72-82,0,0,2.94,0,37.3,0,4.91,0,8.83,0,3.93,3.93,1.96,5.89,0.98,1.96,3.93,0,0.98,9.82,19.63,0,0,19.63,0,10.8,2.94,0,172.77,0,0,0,5.89,3.93,0.98,0,0
 84-94,0,0,6.37,0,64.78,2.12,3.19,0,22.3,0,3.19,9.56,1.06,3.19,7.43,1.06,1.06,0,0,1.06,22.3,0,1.06,14.87,0,6.37,2.12,0,487.48,0,0,1.06,6.37,4.25,0,1.06,0
 96-106,0,0,2.19,0,121.31,1.09,6.56,0,20.76,0,5.46,15.3,0,6.56,9.84,1.09,10.93,0,1.09,5.46,18.58,0,1.09,27.32,0,15.3,1.09,0,377.03,0,0,0,6.56,6.56,0,2.19,0
108-118,0,0,1.53,1.53,135.58,1.53,5.36,0,39.06,0,7.66,9.96,0,13.02,11.49,0,6.13,1.53,1.53,8.43,14.55,1.53,0,14.55,0.77,9.19,0.77,0,301.79,0,0,0.77,0.77,8.43,0,0,0
120,0,0,0,0,123.47,0,1.96,0,37.24,0,3.92,7.84,0,15.68,11.76,1.96,7.84,0,0,5.88,9.8,0,0,15.68,0,9.8,0,0,321.4,0,0,0,0,5.88,1.96,0,0
