stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,2121.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,140.98,1863.41,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,49.04,12.26,0,0,24.52,0,177.76,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,23.66,7.89,0,0,92,0,0,0,0,21.03,0,0,0,0,0,0,0,0,688.72,31.54,0,0,199.78,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,6.29,0,0,53.5,0,0,0,0,9.44,0,0,0,0,0,0,0,0,390.22,9.44,0,0,135.32,0,0,6.29,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,1,24,4,6,0,0,6,2,0,1,0,0,0,0,12,0,6,120,3,1,1,0,0,0,0,10,0,1,11,32,0,0,0,0,0
 24-34,0,0,1.64,8.21,0,18.88,0.82,0,5.75,0.82,0,0,0.82,2.46,0,0.82,23.8,0,8.21,192.08,0.82,0.82,2.46,0,0,2.46,0,0.82,2.46,0,2.46,51.71,0,0,5.75,0,0.82
 36-46,0,0,0,2.42,0,24.98,0.81,0,4.83,0,0,0,0,0.81,0,0,24.17,0,4.03,117.63,0.81,0,0.81,0,0,4.03,0,0,0,0,0,33.03,0,0,3.22,0,0
 48-58,0,0,0,3.44,0,29.84,0,0,10.33,0,0,0,0,0.57,0,0.57,20.08,0,0.57,70.58,0.57,0.57,0,0,0,0.57,0,0,0,0,0,17.79,0,0,2.3,0,0
 60-70,0,0,0,1.96,0,31.41,0,0.98,17.67,0,0,0,0.98,0,0,0,21.59,0.98,2.94,54.97,0,0,0,0,0.98,0,0,0,0,0,0,8.83,0,0,0.98,0,0
 72-82,0,0,0,0.98,0.98,12.76,0,0.98,9.82,0.98,0,0,0,0.98,0,0,18.65,0.98,0.98,24.54,0,0,0,0,0,3.93,0,0,0,0,0,3.93,0.98,0,2.94,0.98,0.98
 84-94,0,0,0,1.06,0,8.5,0,1.06,10.62,1.06,0,0,2.12,0,0,1.06,10.62,0,1.06,19.12,0,0,0,0,0,3.19,0,0,0,0,0,2.12,0,0,3.19,0,0
 96-106,0,0,0,2.19,0,8.74,0,0,4.37,1.09,0,0,1.09,0,1.09,2.19,14.21,0,0,12.02,0,1.09,1.09,0,0,3.28,0,0,0,0,0,0,1.09,0,1.09,1.09,0
108-118,0,0,0,0.77,0.77,4.6,0,0,1.53,0,0,0.77,0.77,0.77,0,0,13.79,0.77,0,11.49,0,0.77,0.77,0,0,3.83,0,0,0,0,0,0,0.77,0.77,2.3,0,0
120,0,0,0,3.92,0,3.92,1.96,3.92,3.92,1.96,0,0,0,1.96,0,0,5.88,0,3.92,9.8,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,1.96,0,0
