stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,25.18,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,1,4,0,0,0,2,0,0,0,1,0,0,2,3,0,2,47,7,0,0,0,0,0,0,2,0,3,17,25,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,13.13,0.82,0,0,0.82,0,0,2.46,0,0,0,0.82,3.28,0,3.28,45.15,0.82,0,0,0,0,0.82,0,0,4.93,3.28,8.21,11.49,0,0,0.82,0,0
 36-46,0,0,0,0,0,19.34,0.81,0,0,1.61,0,0,2.42,0,0,0,1.61,7.25,0,1.61,89.43,0,0.81,0,0,0,0,0,0,1.61,0,0,22.56,0,0,0.81,0,0.81
 48-58,0,0,0,0.57,0,35,2.87,0.57,0.57,6.31,0,0,2.87,0,0,0,0,5.16,0,3.44,67.14,0,0,0.57,0,0,0,0,0,0,0,0,21.8,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,23.56,2.94,0,0,27.48,0,0,3.93,0,0.98,0,0,18.65,0,2.94,95.21,0.98,1.96,0.98,0,0,0,0,0,2.94,0,0,23.56,0,0.98,1.96,0,0.98
 72-82,0,0.98,0,0,1.96,8.83,1.96,0,0,21.6,0,0,7.85,0,1.96,0.98,0,14.72,1.96,0.98,117.8,0,0,0,0,0,0.98,0,0,1.96,0,0,14.72,0,0,0,0.98,0
 84-94,0,2.12,0,3.19,0,21.24,0,0,0,14.87,0,0,12.74,1.06,1.06,0,0,9.56,0,4.25,63.72,0,0,3.19,0,0,0,0,0,8.5,0,0,9.56,0,1.06,1.06,1.06,0
 96-106,0,1.09,0,3.28,2.19,16.39,0,0,0,21.86,0,3.28,13.11,0,0,0,0,14.21,0,1.09,73.22,0,0,3.28,0,1.09,1.09,0,0,16.39,0,0,5.46,0,0,0,0,0
108-118,0,1.53,0,1.53,0,17.62,0.77,0,0.77,16.09,0,0,19.15,0,3.06,0,0,12.26,1.53,0,78.13,0,0.77,3.83,0,0,0,0,0,8.43,0,0,8.43,0.77,0,0,0.77,0
120,0,0,0,0,0,11.76,0,0,0,13.72,0,0,15.68,0,1.96,0,0,17.64,1.96,1.96,70.55,0,1.96,0,0,0,0,0,0,11.76,0,0,5.88,0,0,1.96,0,0
