stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,421.69,5890.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0,0,0,0
  5-6,281.96,3561.32,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,122.59,6.13,0,0,42.91,0,79.69,0,0,0,0,0,0,0,0,0
  7-9,23.66,21.03,0,39.43,0,0,63.09,0,0,0,0,63.09,0,0,0,0,0,0,0,0,0,843.82,31.54,0,0,254.99,0,2.63,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,15.73,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,122.73,3.15,0,0,50.35,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,2,0,2,0,0,3,1,1,0,3,0,0,0,5,0,0,1,20,1,0,0,0,0,0,0,6,2,0,15,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,2.46,0,0.82,8.21,0,0,0,0,0,0,0,1.64,0,0,2.46,30.37,0,0,0,0,0,0,0,0.82,0,0,26.27,0,2.46,0,0
 36-46,0,0,0,0,0,0,5.64,0,0.81,16.11,0,0,0,0,0,0,1.61,3.22,0,0,0,12.89,0,0.81,0,0,0,0.81,0,0,0,0,8.06,0,2.42,0.81,0
 48-58,0,0,0,0,0,0,10.9,0,1.15,39.59,0,0,0,0,1.15,0,3.44,2.3,0,0,0,22.95,0,0.57,0,0,0,0,0,0,0,0,23.53,0,3.44,0.57,0.57
 60-70,0,0,0,0,0.98,0,32.39,0,0,29.45,0.98,0,0,0,0,0,0,1.96,0,0,0,3.93,0,0,0,0,0.98,0,0,0,0,0,13.74,0,7.85,0,0
 72-82,0,0,0,0,4.91,0,48.1,0.98,0,105.04,0,0,0.98,0,1.96,0,0.98,7.85,0,0,1.96,23.56,0,0,0.98,0,0,0,0,0,0,0,14.72,0,26.5,5.89,0
 84-94,0,0,0,0,1.06,3.19,140.19,0,0,65.85,2.12,0,0,2.12,4.25,0,1.06,12.74,0,2.12,1.06,19.12,0,0,0,0,2.12,3.19,1.06,0,0,1.06,10.62,1.06,37.17,4.25,0
 96-106,0,0,0,0,1.09,1.09,121.31,1.09,1.09,63.39,0,0,2.19,0,1.09,3.28,1.09,16.39,1.09,3.28,1.09,21.86,0,0,3.28,0,1.09,2.19,0,0,0,1.09,6.56,0,38.25,2.19,1.09
108-118,0,0,0,0,5.36,0.77,147.83,0,0,48.26,0.77,0,0.77,0,0.77,0.77,1.53,9.96,0,0,0.77,23.74,0,0,0,0,2.3,3.06,0,0,0,0.77,6.13,0,32.94,0.77,0
120,0,0,0,0,0,0,58.79,0,0,78.39,0,0,1.96,0,1.96,0,0,5.88,0,0,1.96,41.16,0,0,1.96,0,5.88,1.96,0,0,0,0,5.88,0,33.32,1.96,0
