stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,5.26,0,5.26,0,0,0,18.4,0,0,31.54,31.54,28.92,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,6.29,0,0,0,15.73,0,0,94.41,50.35,59.79,0,3.15,9.44,0,12.59,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,2,12,2,0,0,6,0,5,14,6,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,21.34,0,0,0,0,0,0,0.82,7.39,0
 36-46,0,0,0,0,4.83,0,0,0,0,0,0,15.31,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,0,5.16,0,0,0,0,0,0,18.36,0,0,0,0,0,0,0,2.3,0.57
 60-70,0,0,0,0,2.94,0,0,0,0,0,0,8.83,0,0,0,0,0,0,0,3.93,0.98
 72-82,0,0,0,0,3.93,0.98,0.98,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,2.12,0,0,1.06,0,0,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0
