stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,10,3,5,0,0,3,1,0,0,0,0,0,0,0,5,0,0,4,42,0,0,1,1,0,1,1,6,0,9,17,0,0,2,0,0
 24-34,0,4.1,0,13.13,0.82,0,4.1,0,0.82,0,0,0,2.46,0.82,0,18.06,0.82,0,5.75,130.52,0,0,2.46,0,0,7.39,0,0,0.82,2.46,18.88,0,0,3.28,0,0
 36-46,0,0.81,0.81,21.75,0,0.81,5.64,0.81,0.81,0,0,0,1.61,0,1.61,9.67,0,0,0.81,102.32,0,0,0,0,0,5.64,0.81,0,0,0,29,0,0,4.83,0,0
 48-58,0,0.57,0,39.02,0,1.15,12.05,0,0,0.57,0,0,0,0,0.57,21.23,0.57,0,4.59,80.33,0,0.57,0,0,0,1.72,0,0,0.57,0,18.94,0,0,2.3,0,2.3
 60-70,0,1.96,0,54.97,1.96,0.98,19.63,0.98,0,1.96,0,0.98,0.98,0.98,0,16.69,0,0.98,2.94,90.3,0,0,0,0,0.98,5.89,0,0,0,0,8.83,0,0,1.96,0,0.98
 72-82,0,5.89,0,36.32,0.98,1.96,16.69,0.98,0,1.96,0.98,0,1.96,0,0,13.74,0,2.94,0.98,63.81,0,0.98,5.89,0,0,3.93,0,0,0,0,6.87,0,0.98,3.93,0.98,0
 84-94,1.06,2.12,1.06,28.68,1.06,2.12,8.5,1.06,0,3.19,1.06,3.19,1.06,1.06,1.06,13.81,0,1.06,1.06,26.55,1.06,1.06,0,0,0,12.74,0,0,1.06,0,4.25,1.06,3.19,2.12,0,0
 96-106,0,2.19,0,24.04,1.09,1.09,8.74,0,0,4.37,0,0,2.19,0,0,8.74,1.09,0,2.19,21.86,0,3.28,1.09,0,0,5.46,0,0,0,0,2.19,0,0,4.37,0,1.09
108-118,0,2.3,0.77,16.85,0.77,1.53,10.72,3.06,0,4.6,0.77,3.06,0,0.77,2.3,12.26,0,0.77,2.3,34.47,0,0,1.53,0,0,8.43,0,0,0,0,1.53,0,0,1.53,0.77,3.06
120,0,7.84,1.96,9.8,0,3.92,11.76,3.92,0,0,0,1.96,0,0,0,15.68,0,0,3.92,23.52,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0
