stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.49,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,50.35,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,154.2,22.03,0,0,50.35,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,2,4,105,5,0,10,0,1,0,1,1,0,1,0,0,0,0,0,0,12,0,6,306,78,1,0,2,0,1,3,1,0,10,338,0,0,1,0,0
 24-34,0,0,0,13.13,0,0,26.27,0,0.82,0,5.75,0,0,0,0,0,0,0,0.82,0.82,6.57,0,4.93,700.19,5.75,0.82,0,0,0,0.82,0,0.82,0,0,325.06,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,28.2,0,0.81,0,16.92,0,0,0.81,0,0,1.61,0,0.81,0,11.28,0,7.25,840.31,0,3.22,0.81,0,0,1.61,0,0.81,0,0,287.62,0,0,0.81,0,0.81
 48-58,0,0,0,1.15,0,0,41.31,0,2.87,1.15,36.15,0,0,0.57,0.57,0,0.57,0.57,0,0.57,12.05,0.57,2.87,513.56,0.57,0,0,0,0,1.15,0,1.15,0.57,0,235.83,0,0.57,0.57,0,1.15
 60-70,0,0,0,0,0,0,20.61,1.96,1.96,0,49.08,0,0.98,0,0,0,0.98,0,0,0.98,28.46,0.98,0.98,190.42,0.98,0.98,0,0,0,0.98,0,0,0,0,74.6,0,0,0.98,0,0.98
 72-82,0,0,0,0,0,0,27.49,1.96,0,0.98,30.43,2.94,0,0,2.94,0,0.98,0,0,0,52.03,0,2.94,114.85,0,0.98,0,0,0,0,0,0,0,0,14.72,0.98,0.98,0.98,0,0
 84-94,0,2.12,0,1.06,0,0,37.17,1.06,2.12,0,13.81,0,1.06,0,2.12,0,4.25,0,2.12,1.06,33.99,0,3.19,54.16,0,0,2.12,0,1.06,0,0,1.06,1.06,0,15.93,0,1.06,0,1.06,0
 96-106,0,1.09,0,4.37,0,1.09,28.41,2.19,4.37,1.09,13.11,1.09,0,2.19,3.28,0,4.37,0,2.19,1.09,44.81,0,2.19,36.06,0,0,1.09,0,0,1.09,0,1.09,0,0,3.28,0,0,1.09,0,1.09
108-118,0,0,0,1.53,0.77,0,29.11,0.77,3.83,1.53,9.96,0,0,0,0,3.83,5.36,0,0.77,0.77,28.34,0,2.3,45.19,0.77,0.77,3.06,0,0.77,0,0,0.77,0,0,1.53,0,0,1.53,0,2.3
120,0,0,0,5.88,0,0,25.48,1.96,1.96,0,11.76,0,0,0,3.92,1.96,3.92,0,0,0,37.24,0,0,48.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
