stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,12.26,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,2.63,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,2,0
 24-34,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0,0,1.64,0,0,0.82,1.64,0
 36-46,0,0,0,8.06,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0.81,0,4.03,0,0,0.81,0,0
 48-58,0,0.57,0,47.05,0,0,0,0,0,0.57,0,0,1.15,0,0,2.3,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,272.86,0,0,2.94,0,0,0,0,0,0,0,0,4.91,0,0,0,0.98,0,0,0.98,0,0.98
 72-82,0,0.98,0,454.51,0,0,1.96,0,0.98,0,0,0.98,3.93,0.98,0,4.91,0,0,0,0.98,0,0.98,1.96,0,0
 84-94,0,1.06,1.06,406.76,0,0,2.12,0,0,0,1.06,0,2.12,0,0,2.12,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,1.09,1.09,289.6,1.09,0,0,0,0,0,0,0,2.19,0,0,3.28,0,0,0,1.09,0,0,0,0,0
108-118,0,1.53,0,183.07,0,0,1.53,0.77,0.77,0,0,0.77,3.83,0,1.53,8.43,0,0,0,0,0,0,0,0,0
120,0,3.92,0,182.26,0,1.96,1.96,0,0,0,0,0,1.96,0,0,7.84,0,0,0,1.96,0,0,0,0,0
