stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1844.91,30875.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1278.26,0,0,0,0,0,0,0,0,0,0,0
  5-6,2200.54,25897.71,36.78,0,0,0,0,0,0,0,0,91.94,0,0,0,0,0,0,0,0,0,0,0,563.93,49.04,0,0,214.54,0,380.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,181.38,205.04,615.12,0,0,699.24,0,0,0,0,0,402.19,0,0,0,0,0,0,0,0,0,0,0,7520.75,184.01,0,0,2823.24,0,10.51,63.09,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,110.14,182.52,0,15.73,387.08,0,0,0,0,0,22.03,0,0,0,0,0,6.29,0,0,0,0,0,2838.57,40.91,0,0,1211.58,0,6.29,15.73,3.15,116.44,0,3.15,9.44,0,0,0,0,0
 14-21,0,0,36,256,132,208,0,0,0,48,20,0,6,0,9,1,2,0,1,152,0,0,120,2296,36,4,34,71,0,15,4,269,15,2,194,702,0,0,16,0,0
 24-34,0.82,0,4.93,49.25,47.61,312.75,0,1.64,3.28,34.48,4.1,0.82,3.28,1.64,4.1,1.64,2.46,4.93,0,155.96,1.64,1.64,77.16,1934.76,7.39,9.03,16.42,0,0.82,21.34,0,1.64,4.1,0.82,23.8,461.32,0,0,25.45,0,0.82
 36-46,0,0,0,21.75,7.25,440.7,0,0.81,1.61,39.48,1.61,0,2.42,0,0,1.61,3.22,1.61,2.42,132.94,0.81,5.64,52.37,1094.1,3.22,3.22,8.06,0,0,6.45,0.81,0,0.81,0,0,261.04,0,0,12.09,0,1.61
 48-58,0,0,0.57,16.07,12.62,351.17,0,1.72,4.59,49.35,2.3,0,2.3,2.3,1.15,0.57,3.44,0.57,0.57,111.89,0,5.74,26.97,395.35,1.72,1.15,3.44,0,0,3.44,0,0,0.57,0,0,73.45,0,0,14.35,0,1.15
 60-70,0,0,0,15.7,24.54,195.32,0,0,0,74.6,5.89,0,0,0.98,0,0,0,1.96,0,89.32,0,2.94,9.82,173.73,1.96,1.96,3.93,0,0.98,2.94,0,0,0.98,0,0,24.54,0,0.98,14.72,0.98,0
 72-82,0,0,0,9.82,60.86,97.18,0,0,2.94,60.86,1.96,0,0.98,3.93,0.98,0.98,0,1.96,0.98,95.22,0.98,1.96,20.61,171.79,0.98,1.96,2.94,0,0.98,3.93,0,0,0,0,0,5.89,1.96,0.98,22.58,1.96,0
 84-94,0,0,0,20.18,72.22,100.89,0,1.06,0,32.92,4.25,0,1.06,3.19,2.12,3.19,2.12,3.19,0,62.66,0,2.12,11.68,128.51,2.12,0,3.19,0,0,4.25,0,0,6.37,0,0,9.56,2.12,1.06,15.93,0,0
 96-106,0,0,0,16.39,72.13,76.5,1.09,0,4.37,34.97,6.56,0,0,5.46,1.09,1.09,0,1.09,0,54.64,1.09,3.28,7.65,102.73,4.37,3.28,3.28,0,1.09,5.46,0,0,1.09,0,0,3.28,0,1.09,18.58,2.19,0
108-118,0,0,0.77,20.68,64.34,58.21,0,2.3,4.6,40.6,2.3,0,1.53,6.89,0,2.3,1.53,2.3,0,45.19,0.77,1.53,14.55,134.04,0.77,1.53,3.06,0,0,6.13,0,0,0.77,0,0,2.3,0.77,0.77,16.85,0.77,0.77
120,0,0,0,9.8,68.59,43.12,0,1.96,1.96,39.2,1.96,0,0,13.72,1.96,0,1.96,0,0,39.2,0,0,3.92,103.87,1.96,3.92,3.92,0,0,5.88,0,0,1.96,0,0,5.88,0,0,17.64,0,0
