stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
 14-21,0,1,0,0,1,0,0,2,0,11,0,1,0,1,2,4,0
 24-34,0.82,0,0,0,0,0,0,2.46,0,4.1,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,0,4.83,0,0,0.81,0.81,0,0.81,0
 48-58,0,0,0.57,0,0.57,0,0.57,0.57,0.57,3.44,0,0,0,0,0,0,0
 60-70,0,0,2.94,0,0.98,0,0,0.98,0,3.93,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,0,1.96,0,8.83,0,0,0,0,0,0,0
 84-94,0,0,2.12,1.06,0,0,0,1.06,0,1.06,1.06,0,0,0,0,0,1.06
 96-106,0,0,1.09,0,0,0,0,0,2.19,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0.77,0,2.3,0,4.6,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0,0
