stage,blastomeres,epidermis,erythrocytes,eye,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,spinal_cord
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,10.51,2.63,0,5.26,0
 14-21,0,0,0,0,0,0,0,1,0,1,0,0
 24-34,0,0,0,0,0,0,0.82,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61
 48-58,0,0,0.57,0.57,0.57,0,0,1.15,0,0,0,1.15
 60-70,0,0,0,0,1.96,0,0,0.98,0,0,0,1.96
 72-82,0,0,0,0,2.94,0,0,1.96,0,0,0,0
 84-94,0,1.06,0,0,4.25,0,0,0,0,0,0,0
 96-106,0,0,0,0,26.23,0,0,1.09,0,0,0,0
108-118,0,0,0,0,15.32,0.77,0,1.53,0,0,0,0
120,0,0,0,1.96,9.8,0,0,1.96,0,0,0,1.96
