stage,endocrine_pancreas,epidermis,eye,glial,immune,mesenchyme,neural,spinal_cord
 14-21,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,2.46,1.64
 36-46,0,0,0.81,0,0,0,8.86,1.61
 48-58,0,0,4.02,0,0,0.57,26.4,8.03
 60-70,0,0,15.7,0,0,0,76.56,15.7
 72-82,0,0,15.71,0.98,0,0,59.88,6.87
 84-94,0,0,12.74,0,0,0,29.74,1.06
 96-106,0,1.09,5.46,1.09,0,1.09,30.6,1.09
108-118,0,2.3,9.96,1.53,0,0,27.57,0.77
120,1.96,0,1.96,0,1.96,0,31.36,0
