stage,blastomeres,epidermis,eye,mesenchyme,neural,olfactory,otic,presomitic_mesoderm,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,13.14,0,0,0,0,0
 10-12,0,0,6.29,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,1,1,0
 24-34,0,0,0,0,0.82,0,0,0,0.82,0
 36-46,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0.57,0.57,3.44,0,0,0,0.57,0.57
 60-70,0,0,0.98,0,3.93,0,0,0,0,0
 72-82,0,0.98,2.94,0.98,3.93,0.98,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,2.3,0.77,0,0,0,0
