stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,28.92,0,0,0,0,2.63,0,0,0,0,0,0,0,0,126.18,5.26,0,0,57.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,12.59,0,0,22.03,0,0,0,0,6.29,0,0,0,0,0,0,0,0,229.73,3.15,0,0,53.5,0,0,22.03,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,8,1,18,0,0,3,1,0,0,0,0,0,0,13,0,6,116,1,0,1,5,0,14,0,0,23,30,0,0,0,0
 24-34,0,0,0.82,0,2.46,0,14.78,0,0,0.82,0,0,0,0,0.82,0,0,8.21,0,3.28,100.97,0,0.82,1.64,0,0.82,0,0,0,1.64,18.06,0,4.93,0,1.64
 36-46,0,0,0,0,0,0,27.39,0,0.81,3.22,0.81,0,0.81,0.81,0.81,0,0,14.5,0,4.83,74.12,0,0,0.81,0,4.83,0,0,0,0,12.09,0.81,1.61,0,0
 48-58,0,0,0,0,1.15,0,20.66,0,1.15,5.74,0,0,0.57,0,0,0,0,17.79,0.57,1.72,36.72,0,0,0,0,2.3,0,0,0,0,8.03,0,0.57,0,0
 60-70,0,0,0,0,0,0,20.61,0,0.98,9.82,0.98,0,0,0.98,0,0,0,17.67,0,1.96,18.65,0,0,0.98,0,1.96,0,0,0,0,5.89,0,2.94,0,0
 72-82,0,0,0,0,0.98,0.98,2.94,0,0.98,7.85,0,0,0,0.98,0,0.98,0,20.61,0,3.93,21.6,0,0.98,0,0,0.98,0,0.98,0,0,0,0,1.96,0.98,0
 84-94,0,0,0,0,3.19,0,8.5,0,0,9.56,1.06,0,1.06,0,1.06,0,1.06,12.74,0,3.19,8.5,0,2.12,0,0,2.12,0,0,0,0,3.19,1.06,5.31,0,1.06
 96-106,0,0,0,0,4.37,1.09,6.56,0,1.09,5.46,0,0,0,0,0,0,0,13.11,0,1.09,9.84,0,0,1.09,0,4.37,0,1.09,0,0,2.19,0,1.09,1.09,1.09
108-118,0,0,0,0,7.66,0.77,8.43,0.77,0.77,9.19,0.77,0,0,2.3,0.77,0,0.77,19.15,0,5.36,13.02,0,0.77,0.77,0,3.83,0,0.77,0.77,0,0.77,0,5.36,0.77,1.53
120,0,0,0,0,0,0,3.92,0,1.96,3.92,0,0,0,3.92,0,0,0,17.64,0,1.96,7.84,0,1.96,1.96,0,0,0,0,0,0,0,0,5.88,0,0
