stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,7,44,18,0,30,0,0,0,1,9,28,0,0,12,0,0,2,9,1,0,7,173,1,4,6,0,43,3,10,1,56,0,0,2,0,0
 24-34,0.82,1.64,15.6,1.64,0,41.86,0,1.64,0,2.46,4.1,2.46,0.82,0,27.91,0,5.75,0,18.88,9.85,0,6.57,555.72,1.64,11.49,9.03,0,175.66,0,15.6,2.46,127.23,0,0,13.13,0,0
 36-46,0,0.81,6.45,0,0,53.17,0,0.81,0.81,15.31,0.81,0,0,0.81,12.89,0,4.03,0,14.5,8.06,0,0.81,814.53,0,16.92,4.03,0,134.55,0,10.47,0,183.69,0,0,6.45,0,0
 48-58,0,0,4.59,0,0,221.49,0,2.3,0.57,23.53,0,4.59,0.57,0,6.89,1.15,3.44,0.57,20.08,8.03,2.87,2.87,697.75,1.15,11.48,7.46,0.57,84.92,0,2.87,0,117.63,0,0,7.46,0,0.57
 60-70,2.94,0,8.83,0,0,716.51,0,2.94,0.98,46.13,5.89,0.98,0,0.98,8.83,1.96,4.91,0.98,40.24,10.8,1.96,2.94,971.71,0,10.8,3.93,0,67.73,0,9.82,0,118.76,1.96,0.98,3.93,0,2.94
 72-82,4.91,0,26.5,0.98,0,504.57,0,0.98,0.98,69.7,8.83,1.96,1.96,1.96,12.76,4.91,6.87,0.98,41.23,14.72,6.87,0.98,622.37,0,12.76,15.71,0,75.59,0,7.85,0,79.51,4.91,3.93,11.78,0.98,1.96
 84-94,3.19,0,21.24,0,2.12,373.84,0,4.25,0,52.04,33.99,4.25,0,0,19.12,7.43,9.56,5.31,44.61,20.18,5.31,4.25,360.03,1.06,9.56,12.74,0,195.41,0,27.61,0,43.54,21.24,6.37,10.62,1.06,2.12
 96-106,4.37,0,32.79,1.09,4.37,313.65,0,3.28,1.09,39.34,37.16,1.09,1.09,0,18.58,8.74,13.11,5.46,25.14,15.3,2.19,3.28,297.25,0,21.86,13.11,1.09,168.3,0,31.69,0,17.49,34.97,1.09,14.21,2.19,3.28
108-118,1.53,0,36,0.77,12.26,238.21,0.77,2.3,0,34.47,36.77,0,0,0.77,26.81,16.09,12.26,13.02,29.87,13.79,2.3,3.06,324,0,11.49,19.92,0,119.49,0,20.68,0,11.49,38.3,1.53,13.79,0.77,0.77
120,0,3.92,39.2,1.96,0,131.31,1.96,5.88,0,35.28,27.44,0,0,1.96,11.76,15.68,5.88,11.76,9.8,17.64,0,1.96,295.93,0,7.84,15.68,0,88.19,0,23.52,0,13.72,11.76,3.92,11.76,0,0
