stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,lateral_line,melanocytes,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,7,1,3
 24-34,0,0.82,0,0,0,0,0,0.82,0,0.82,0,0,1.64,0,2.46,0,0,6.57,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,1.61,3.22,0,0,7.25,0,1.61
 48-58,0,0,0.57,0,0.57,0,0,0.57,0,1.72,0,0,2.3,1.72,5.74,0,0,3.44,0,1.15
 60-70,0,0,0,0,0,0,0.98,0,0,5.89,0,0,0.98,0,9.82,0,0,3.93,0,0.98
 72-82,0,0.98,0,0.98,1.96,0,0,0,0,12.76,0,0.98,3.93,2.94,23.56,0,0,0.98,0,0.98
 84-94,0,0,0,1.06,0,1.06,0,0,0,12.74,1.06,0,1.06,6.37,30.8,0,0,3.19,0,0
 96-106,0,0,0,0,0,0,0,1.09,1.09,31.69,0,0,2.19,9.84,45.9,0,1.09,6.56,0,0
108-118,0,0,0.77,0,0,0,0,2.3,2.3,19.92,0,3.06,3.83,2.3,32.94,0,0,3.06,0,0
120,0,0,1.96,0,0,0,0,0,0,29.4,0,0,3.92,3.92,23.52,0,0,1.96,0,1.96
