stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,1.15,0,0,0,1.15,0,0
 60-70,0,0,0,0,2.94,0,0,0.98,0,0,0.98,0,0.98,0.98,0.98,0,0,0,2.94,0.98,0
 72-82,0,0,1.96,3.93,3.93,0,0.98,0,0,0.98,0,0,0,0.98,8.83,0,0,0,0,0.98,0
 84-94,0,0,0,2.12,11.68,0,0,0,0,0,0,0,1.06,0,2.12,0,1.06,0,2.12,0,0
 96-106,0,2.19,0,2.19,17.49,1.09,0,0,0,0,3.28,1.09,5.46,2.19,7.65,0,1.09,0,0,0,0
108-118,0,0,0,3.06,13.79,0,0,0,0,0,0.77,0,0,0.77,3.83,0,0,0,2.3,0,0.77
120,0,0,0,1.96,11.76,0,0,0,1.96,0,5.88,0,0,0,3.92,0,0,0,1.96,0,0
