stage,blastomeres,erythrocytes,eye,glial,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0.81,0,1.61,0.81,0,0,0
 48-58,0,0,0.57,0,0,0.57,0,0.57,0.57,0,1.15,0,1.15,0,0.57
 60-70,0,0,0,0,0,0.98,0,0,0,0.98,1.96,0,0,0,0
 72-82,0,0,0.98,2.94,0,1.96,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,4.25,0,0,1.06,0,0,0,0,1.06,2.12
 96-106,0,0,0,3.28,0,14.21,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,29.11,1.53,0,0.77,0,0,0,0,0,3.06
120,0,0,0,0,0,29.4,0,0,0,0,1.96,0,0,0,1.96
