stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,2,0,5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,5,29,0,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0.82,0,6.57,0,0,0.82,8.21,1.64,0,0,0,9.85,0,1.64,0,0
 36-46,0,0,0,1.61,0,0,3.22,0.81,0.81,0,1.61,0,0,0,0.81,0,0,8.86,0,0,0,8.86,0,0,0,0,6.45,0,1.61,0,0
 48-58,0,0,0,0,0,0,1.15,0,0.57,0.57,1.15,0,0,0,0,0,0,9.18,0,0,1.15,10.33,0,0,0,0,0.57,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,1.96,0.98,0,0,0.98,0,0,0,0,0,0,18.65,0,0.98,0,17.67,0,0,0,0,0,0,2.94,0,0
 72-82,0,0,0,0.98,0,0,3.93,0,0,0.98,0.98,0,0,0,0,0,0,34.36,0.98,0,0.98,24.54,0,0,0,0,0.98,0,0.98,0,0.98
 84-94,0,0,0,3.19,0,0,5.31,0,0,0,3.19,0,0,0,0,0,1.06,29.74,0,2.12,2.12,14.87,0,1.06,0,0,1.06,0,0,0,0
 96-106,0,0,0,5.46,0,1.09,6.56,2.19,0,5.46,3.28,0,0,3.28,0,0,0,16.39,0,1.09,1.09,14.21,0,0,0,0,0,0,0,1.09,1.09
108-118,0,0.77,0,4.6,0,0.77,4.6,3.06,0,1.53,3.83,0,0,2.3,0,0,0,16.85,0,0.77,1.53,16.85,0,0,0.77,0,2.3,0,0,0,1.53
120,0,0,0,9.8,0,0,0,0,0,1.96,3.92,0,1.96,3.92,0,0,0,7.84,0,0,0,3.92,0,0,0,0,0,1.96,0,0,0
