stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,1317.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,539.41,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,15.77,0,0,0,5.26,0,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,110.41,10.51,0,0,42.06,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,47.2,0,0,0,15.73,0,0,0,0,0,88.12,0,0,0,0,0,0,0,0,0,0,264.35,9.44,0,0,31.47,0,12.59,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,17,332,9,0,11,0,2,0,1,20,6,5,0,4,0,1,2,17,2,0,2,108,53,1,19,6,0,103,0,4,8,4,39,0,0,5,0,0
 24-34,0,0,1.64,8.21,170.74,1.64,0,20.52,0,26.27,0,4.93,0.82,4.1,6.57,0,8.21,0,0.82,4.1,26.27,5.75,2.46,12.31,147.75,12.31,7.39,21.34,0,0,294.69,0,0,10.67,0.82,24.63,0,0,73.88,0,0
 36-46,0,0,1.61,1.61,50.76,0.81,0,38.67,0,22.56,0.81,12.89,8.86,1.61,10.47,0,3.22,0,2.42,11.28,53.98,8.06,2.42,18.53,105.54,12.09,6.45,16.92,0,0,304.54,0.81,0,10.47,0,20.95,0,1.61,64.45,0,2.42
 48-58,0,0,0.57,0,41.89,0,0,44.18,0,27.54,0,35.58,7.46,9.18,6.89,0,1.72,0,4.02,5.74,87.22,9.75,10.33,14.35,97.55,1.15,4.02,10.9,0,1.15,211.16,0,0,5.16,0,25.82,0,3.44,53.94,0,0
 60-70,0,0,0,0,45.15,0.98,0,22.58,0,23.56,0.98,90.3,21.59,3.93,9.82,1.96,4.91,0.98,2.94,3.93,190.42,10.8,9.82,15.7,80.48,4.91,8.83,21.59,0,3.93,184.53,0,0,9.82,0,17.67,0.98,14.72,39.26,3.93,0
 72-82,0,0,2.94,0,52.03,2.94,0,41.23,0,22.58,2.94,92.28,30.43,3.93,9.82,1.96,11.78,0,6.87,2.94,323.95,17.67,22.58,20.61,92.28,0.98,3.93,24.54,0,14.72,162.96,0,0,11.78,0,12.76,0,15.71,70.68,16.69,0
 84-94,0,0,6.37,2.12,90.27,1.06,1.06,57.35,0,40.36,6.37,53.1,40.36,8.5,5.31,3.19,15.93,2.12,5.31,4.25,249.58,22.3,22.3,15.93,58.41,3.19,13.81,22.3,0,2.12,438.62,0,0,14.87,0,10.62,6.37,19.12,82.84,23.36,0
 96-106,0,0,4.37,2.19,101.63,1.09,0,40.44,0,34.97,3.28,63.39,57.92,0,14.21,3.28,22.95,7.65,6.56,7.65,256.82,16.39,18.58,14.21,63.39,4.37,15.3,37.16,0,12.02,336.6,0,0,6.56,0,6.56,3.28,17.49,76.5,32.79,1.09
108-118,0,0,2.3,0,80.43,1.53,0,38.3,1.53,41.36,2.3,42.13,36.77,0.77,4.6,6.13,17.62,10.72,4.6,8.43,252,15.32,14.55,11.49,62.81,3.83,13.02,25.28,0,6.89,191.49,0,0,9.19,0,2.3,3.06,12.26,48.26,13.02,0
120,0,0,3.92,0,96.03,3.92,0,25.48,0,21.56,1.96,43.12,47.03,0,0,5.88,17.64,9.8,9.8,11.76,203.82,19.6,25.48,15.68,60.75,0,11.76,25.48,0,9.8,152.86,0,0,11.76,0,3.92,7.84,17.64,50.95,21.56,0
