stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,13.18,0
  5-6,0,61.3,0,0,0,0,0,0,0,6.13,0,6.13,0
  7-9,0,0,0,0,0,0,0,0,0,10.51,5.26,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,6.29,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0.81,0.81,0,0,0.81
 48-58,0,0,0,0,0,0.57,0,0.57,0,1.72,0,0,1.15
 60-70,0,0,0,0.98,0,0.98,0,0,0,0.98,0,0.98,0.98
 72-82,0,0,0,3.93,0,0,0,1.96,0,1.96,0,0,0
 84-94,0,0,1.06,0,0,0,0,1.06,1.06,0,0,1.06,0
 96-106,0,0,1.09,1.09,0,0,1.09,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,1.53,0,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0
