stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,14,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,32,1,0,2,0,0,0,2,2,95,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,5.75,0,0,0,0.82,0,0,0,0,0,0,0,0,0,3.28,0,0,0.82,355.43,0,0,4.93,0,2.46,0.82,2.46,0,205.21,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,29.81,0,0,0,1.61,0,0.81,0,0,0,0,0,0,0,4.03,0,0,0.81,941.02,0,0,0.81,0,3.22,0,5.64,0,232.03,0,0,0.81,0,0
 48-58,0,0,0,0,2.87,0,0,150.91,0,0.57,1.72,12.62,0,1.72,0.57,0.57,0,0,0.57,1.15,1.15,42.46,0,0.57,1.72,1335.24,0,0.57,5.74,0,1.15,0.57,4.02,0,267.39,0,0,0.57,0,1.15
 60-70,0,0,0,0,4.91,0,0,466.22,0,0,0,16.69,0.98,0,0,0,0.98,0.98,0,0,0,177.66,0.98,0,3.93,1616.57,0,0,3.93,0.98,3.93,0,2.94,0,249.31,0,0,1.96,0,1.96
 72-82,0,0,0,0,13.74,3.93,0,555.62,1.96,1.96,1.96,36.32,3.93,1.96,0,0,0,0,0,0.98,0,401.5,0,0.98,0.98,1550.04,0,0,10.8,0,3.93,1.96,2.94,0,149.21,1.96,0.98,2.94,0.98,1.96
 84-94,0,0,1.06,0,13.81,1.06,0,401.45,2.12,0,1.06,46.73,6.37,2.12,0,5.31,1.06,2.12,1.06,0,2.12,323.92,0,2.12,3.19,769.98,2.12,0,3.19,0,5.31,0,3.19,0,114.7,6.37,3.19,1.06,2.12,1.06
 96-106,0,0,0,0,7.65,4.37,0,281.95,2.19,2.19,1.09,34.97,7.65,2.19,1.09,1.09,0,0,1.09,0,0,187.97,0,0,1.09,646.97,0,0,12.02,0,8.74,0,3.28,0,71.04,12.02,2.19,1.09,2.19,1.09
108-118,0,0,0,1.53,12.26,0.77,0.77,236.68,0,0.77,4.6,24.51,5.36,0,0.77,1.53,0,1.53,0,1.53,0,111.83,0.77,0,1.53,717.71,0,1.53,4.6,0,0.77,0.77,3.83,0,36.77,14.55,0.77,0.77,0.77,0
120,1.96,0,0,0,25.48,0,0,148.94,3.92,1.96,0,25.48,7.84,0,0,1.96,0,0,0,1.96,0,117.59,3.92,0,1.96,703.56,1.96,0,7.84,0,7.84,0,1.96,0,23.52,9.8,0,0,0,0
