stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,liver,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,5.26,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0.82,0,0,0,18.06,0,0,0,3.28,0
 36-46,0,0,0,0,0,0,0,0,0,82.18,0.81,0,0.81,5.64,0
 48-58,0,0,0,0,0,3.44,0,0,1.15,102.71,0,0,0,7.46,0.57
 60-70,0,0,0,0,0,3.93,0,0,0.98,251.27,1.96,0,0,9.82,0
 72-82,0,0,0,0.98,0,15.71,2.94,0,0,269.96,0,0,0,6.87,0
 84-94,0,0,0,0,0,14.87,3.19,1.06,3.19,143.38,0,0,1.06,8.5,0
 96-106,0,0,2.19,0,0,10.93,1.09,0,2.19,131.14,0,0,0,6.56,0
108-118,0,0,1.53,0,0.77,5.36,2.3,0,1.53,143.24,0,0,0,7.66,0
120,0,0,0,0,0,9.8,0,0,1.96,168.54,0,0,0,5.88,0
