stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,790.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,61.3,662,0,0,0,0,0,0,0,0,6.13,0,0,0,30.65,0,0,12.26,6.13,0,0,0,0,0
  7-9,7.89,7.89,10.51,0,0,18.4,0,0,0,0,13.14,0,0,0,205.04,10.51,0,92,0,0,0,0,0,0
 10-12,0,9.44,15.73,0,3.15,12.59,0,0,0,0,0,0,0,0,258.05,3.15,0,81.82,0,9.44,0,0,0,0
 14-21,0,0,0,3,0,2,0,0,0,0,0,0,0,2,9,0,2,0,0,0,1,3,0,0
 24-34,0,0,0,3.28,0,3.28,0,0,1.64,0,0,0,5.75,1.64,35.3,0,0,0,0,0.82,0,10.67,0,0
 36-46,0,0,0,0,0,2.42,0,0.81,0.81,0,0,0,2.42,1.61,14.5,0,0,0,1.61,0,0,2.42,0,0
 48-58,0,0,0,0,0,10.33,0,0,1.72,0,0,0,7.46,0.57,14.35,0,0,0,0,0,0,10.9,0.57,0
 60-70,0,0,0,0,0,5.89,0,0,0.98,0.98,0,0,3.93,0.98,4.91,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,1.96,0,0,0.98,0.98,0,0,0.98,1.96,3.93,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,3.19,0,0,1.06,0,0,0,1.06,0,4.25,0,0,0,2.12,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,2.19,0,0,1.09,2.19,0,5.46,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0,0.77,0,0,0,0.77,0.77,2.3,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,3.92,0,0,1.96,0,0,0,1.96,1.96,7.84,1.96,0,0,0,0,0,0,0,0
