stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,23,1,0,0,0,0,0,1,2,0,0,0,0,0,0,6,5,0,0,1,63,0,8,0,0,0,0,0,6,0,0,0,0,0
 24-34,0,0,0.82,0,14.78,0,0,7.39,0,0,0,15.6,2.46,1.64,0,0,0.82,0.82,0.82,25.45,1.64,0,0,0.82,298.79,0,69.77,0.82,0,0,0.82,0,10.67,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,35.45,0.81,0,0,100.71,0.81,1.61,0,0,0,0,0.81,7.25,4.83,0,0,1.61,721.07,0.81,66.87,4.03,0,0,0,0,8.86,0,0,2.42,0,0
 48-58,0,0,0.57,0,4.02,0,0,122.79,0,2.87,0,211.16,1.15,4.02,0.57,0,0,0.57,1.72,2.3,10.33,0.57,0.57,2.3,721.85,0,50.49,4.02,0,0,1.15,0,60.25,0,0,0,0,0.57
 60-70,0,0,1.96,0,3.93,0,0,156.06,0,0,1.96,248.33,0.98,2.94,0,0,2.94,0,0,0.98,23.56,0.98,0,1.96,753.81,0,53,3.93,0,0.98,0.98,0,62.82,0,0,0.98,0,1.96
 72-82,0,0,9.82,0,4.91,0,0,233.64,0,0.98,0,254.25,4.91,12.76,0.98,0.98,4.91,0,1.96,0.98,22.58,0,0.98,3.93,720.54,0,93.26,3.93,0,0,0,0,35.34,0,1.96,0.98,0.98,0
 84-94,0,0,3.19,0,9.56,0,0,125.32,1.06,3.19,0,157.18,5.31,2.12,0,0,9.56,0,0,0,20.18,1.06,2.12,0,340.91,0,109.39,4.25,0,0,0,0,24.43,1.06,0,0,1.06,0
 96-106,0,0,4.37,0,21.86,1.09,1.09,97.26,0,1.09,2.19,137.7,3.28,8.74,0,0,9.84,0,1.09,0,22.95,0,2.19,2.19,310.37,0,168.3,7.65,0,0,2.19,1.09,6.56,2.19,1.09,1.09,1.09,1.09
108-118,0,0,6.13,1.53,16.09,2.3,0,65.11,0,0.77,0,123.32,9.96,4.6,0,0,13.79,0,0.77,4.6,21.45,0,0,2.3,326.3,0,111.83,3.06,0,0,1.53,0,3.06,0.77,0.77,0,0.77,0
120,1.96,0,9.8,0,11.76,0,0,68.59,1.96,1.96,0,119.55,3.92,1.96,0,3.92,7.84,0,1.96,0,3.92,0,0,0,299.85,0,74.47,0,0,0,1.96,0,5.88,0,0,0,0,1.96
