stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,1014.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,116.46,1544.67,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,24.52,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,47.32,47.32,0,73.6,0,0,115.66,0,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,914.79,49.95,0,0,417.97,2.63,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,44.06,0,15.73,47.2,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,660.86,6.29,0,0,232.88,0,6.29,3.15,31.47,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,24,9,17,0,0,0,5,1,0,0,0,1,0,0,0,0,17,0,0,12,224,3,2,5,6,2,0,22,0,1,17,75,0,3,0,0
 24-34,0,0,0,1.64,4.93,3.28,46.79,0,0,0.82,9.03,0,0,3.28,0,0.82,0,0,0.82,0,30.37,0,0.82,7.39,397.29,0.82,4.93,1.64,0,9.03,0,0,0,0,3.28,83.73,0,9.03,0,0.82
 36-46,0,0,0,0,8.86,1.61,142.6,0,0,0.81,8.06,0.81,0,3.22,0,0,0,0.81,0,0,29.81,0,1.61,13.7,271.51,0,1.61,0.81,0,1.61,0,0,0,0,0,54.79,0,6.45,0,1.61
 48-58,0,0,0,0,2.87,2.87,134.27,0,0,1.15,7.46,0,0,3.44,0,0,0,0.57,0,0.57,25.82,0,1.15,5.74,120.5,0,0,0,0,1.72,0,0,0,0,0,17.21,0,8.03,0,0.57
 60-70,0,0,0,0,5.89,0,124.65,0,0,0,16.69,2.94,0,0.98,0,0,0,2.94,0,0,27.48,0,0.98,5.89,82.45,0,0.98,0.98,0,0.98,0,0,0,0,0,12.76,0,5.89,0.98,0.98
 72-82,0,0,1.96,0,3.93,2.94,52.03,0,0,0.98,14.72,0,0,8.83,0.98,0,0,0,0,0.98,42.21,0,0,6.87,80.5,0,2.94,1.96,0,1.96,0,0,0,0,0,3.93,0,14.72,3.93,0.98
 84-94,0,0,0,0,7.43,4.25,40.36,0,2.12,2.12,10.62,2.12,0,3.19,3.19,0,3.19,0,1.06,0,28.68,0,1.06,4.25,57.35,1.06,1.06,1.06,0,3.19,0,0,1.06,0,0,6.37,1.06,7.43,1.06,0
 96-106,0,0,0,0,5.46,2.19,48.09,0,3.28,1.09,9.84,3.28,0,8.74,1.09,1.09,2.19,0,0,1.09,29.51,1.09,0,5.46,36.06,0,0,1.09,0,8.74,0,0,1.09,0,0,2.19,2.19,18.58,2.19,0
108-118,0,0,0,0,10.72,5.36,35.23,0,2.3,3.06,13.02,2.3,0,1.53,4.6,1.53,2.3,0.77,0,0,21.45,0,1.53,3.83,57.45,0,1.53,0,0,3.83,0,0,0.77,1.53,0,2.3,1.53,5.36,0.77,0.77
120,0,0,0,0,11.76,5.88,19.6,1.96,0,1.96,15.68,3.92,0,5.88,1.96,0,1.96,0,0,0,27.44,0,0,3.92,76.43,3.92,0,0,0,7.84,0,0,1.96,0,0,1.96,0,9.8,0,0
