stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,36.8,0,0,168.24,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,18.88,0,0,100.7,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,19,7,1,0,0,0,11,1,0,0,0,0,0,25,0,0,34,23,19,0,0,1,0,2,1,17,1,20,104,0,0,8,0,0
 24-34,0,0,1.64,13.95,0,1.64,0,0.82,0.82,20.52,0.82,0,0,0,2.46,0,21.34,0,0,27.09,50.89,4.93,0,0,0,0,4.1,0,0.82,0,4.1,137.08,0,0,11.49,0,0.82
 36-46,0,0,0,3.22,0.81,2.42,0,0,0.81,8.86,0,0,0,0,0.81,0,19.34,0,1.61,8.06,50.76,0.81,0,0,0,0,1.61,0,0,0.81,0,119.24,0,0,8.86,0,0
 48-58,0,0,0,2.3,0,3.44,0,0,0,9.75,0,0,0.57,0.57,0,0,23.53,0,3.44,6.89,40.17,0,0,0,0,0,0,0,0,0,0,85.5,0,0.57,5.16,0,0.57
 60-70,0,0,0,3.93,0,2.94,0,0,0,19.63,0,0,0,0,0,0,19.63,0,2.94,1.96,25.52,0,0,0,0,0,0,0,0,0,0,34.35,0,1.96,9.82,0.98,0
 72-82,0,0,0,4.91,0.98,3.93,0.98,0,0.98,49.08,0,0,0,3.93,0,0,23.56,0,3.93,3.93,19.63,0,0,0,0,0,0,0,0,0,0,7.85,0.98,1.96,16.69,2.94,0
 84-94,0,0,0,10.62,0,6.37,0,0,0,24.43,0,1.06,0,0,0,0,10.62,0,3.19,2.12,22.3,1.06,0,0,0,0,0,0,0,0,0,6.37,1.06,5.31,14.87,4.25,1.06
 96-106,0,0,0,5.46,0,3.28,0,0,0,29.51,3.28,1.09,0,6.56,0,0,15.3,1.09,2.19,3.28,16.39,0,0,1.09,0,0,0,0,0,0,0,1.09,0,2.19,24.04,6.56,1.09
108-118,0,0,0,4.6,0,0.77,1.53,0.77,0,14.55,1.53,0,0,3.06,0,0.77,7.66,0.77,3.06,0.77,15.32,0,0.77,0,0,0,0,0,0,0,0,1.53,4.6,1.53,8.43,0.77,1.53
120,0,0,0,1.96,0,1.96,0,0,0,5.88,1.96,0,0,0,0,0,7.84,0,3.92,3.92,9.8,0,0,0,0,1.96,0,0,0,0,0,0,3.92,3.92,3.92,0,0
