stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,1779.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,36.78,894.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,13.14,5.26,7.89,0,0,0,23.66,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,191.9,2.63,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,15.73,0,3.15,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,289.52,15.73,0,0,84.97,0,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,2,9,1,0,6,0,0,0,1,2,0,0,0,3,0,0,0,0,4,0,0,7,50,0,0,1,1,0,2,11,0,1,4,24,0,1,0,0
 24-34,0,0,0.82,3.28,0,0,7.39,0,0,0.82,0.82,0,0.82,0.82,1.64,3.28,0,0,0,0.82,9.85,0,0.82,3.28,87.83,0,3.28,0.82,0,0,18.88,0,0,0,2.46,23.8,0,1.64,0,0.82
 36-46,0,0,0,2.42,0.81,0,13.7,0.81,0.81,0,3.22,0.81,0,0.81,0.81,0.81,0,0,0,0,9.67,0,0,4.03,90.23,0.81,4.03,0.81,0,0,14.5,0,0,0,0,24.98,0,2.42,0,0
 48-58,0,0,0,1.15,0,0,21.8,0.57,0,1.72,9.75,0.57,0,0,0,0,0,0.57,1.15,1.72,14.35,0,0,1.72,68.86,0,1.15,1.15,0,0,9.75,0,0.57,0,0,12.05,0,1.72,0,1.15
 60-70,0,0,0,2.94,0,0,39.26,0,0,1.96,11.78,0,0,1.96,1.96,0,0,0,0,0.98,19.63,0,0,0,82.45,0,2.94,0.98,0,0,6.87,0,0,0,0,14.72,0.98,1.96,0.98,0
 72-82,0,0,0,4.91,0,0,33.38,0.98,0,0,7.85,2.94,0,0,0,2.94,2.94,0,1.96,0,11.78,0.98,3.93,1.96,42.21,0,0.98,1.96,0,0,5.89,0,0.98,0.98,0,2.94,0,2.94,0,0.98
 84-94,0,0,0,10.62,0,0,21.24,0,0,1.06,5.31,6.37,0,0,3.19,3.19,0,0,0,0,10.62,0,1.06,2.12,20.18,0,1.06,2.12,0,0,20.18,0,1.06,0,0,2.12,2.12,3.19,0,0
 96-106,0,0,0,6.56,0,0,14.21,0,1.09,1.09,8.74,5.46,0,0,3.28,2.19,1.09,1.09,0,0,4.37,0,0,1.09,28.41,1.09,2.19,0,0,0,13.11,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,3.83,0.77,0.77,12.26,0,0,1.53,7.66,0.77,0,0.77,3.06,0.77,0,0,0.77,1.53,5.36,0.77,1.53,0,21.45,0,0,0.77,0,0.77,18.38,0,1.53,0,0,0.77,0,1.53,0.77,0.77
120,0,0,0,5.88,1.96,0,9.8,0,0,0,5.88,5.88,0,0,7.84,0,0,0,0,0,9.8,0,3.92,1.96,21.56,0,1.96,1.96,0,0,9.8,0,0,0,0,0,0,1.96,0,0
