stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,165.5,122.59,0,6.13,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,0,0,28.92,0,0,0,0,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88,0,1,0,0,0,1,0,2,6,0,0,0,0,0
 24-34,0,0,0,0,4.1,0.82,4.1,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,1.64,0,0,429.31,0,16.42,0,0,0.82,0,0.82,0.82,21.34,0,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,8.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,3.22,546.24,0,16.11,0,0,0,0,0,0,17.72,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,47.05,0,0.57,0,4.59,0,0,0,0,0,0.57,0,0,0.57,8.61,0,2.87,426.91,0,13.2,0,0,0.57,0,0.57,0,16.07,0,0,1.15,0,1.72
 60-70,0,0,0,0,0.98,0,56.93,0,0,0.98,4.91,0,0,0,0,0,0,0,0,0,3.93,0,0,325.87,0,8.83,0,0,0,0,0,0,4.91,0,0,0,0,2.94
 72-82,0,0,0.98,0,3.93,0.98,85.4,0,0,0.98,5.89,0.98,0,0,0,0,0,0,0,0,12.76,0.98,0.98,315.11,0,12.76,1.96,0,1.96,0,0,0,3.93,0,0,0,0,0
 84-94,0,0,0,0,6.37,0,65.85,0,1.06,1.06,7.43,0,0,0,1.06,0,0,0,0,0,7.43,0,2.12,203.91,0,23.36,2.12,0,1.06,0,0,0,3.19,0,1.06,2.12,0,0
 96-106,0,0,0,0,13.11,1.09,54.64,0,1.09,0,7.65,0,0,1.09,1.09,1.09,0,1.09,0,0,7.65,0,0,163.93,0,22.95,2.19,0,1.09,0,1.09,0,1.09,1.09,1.09,0,1.09,0
108-118,0,0,0,0,1.53,1.53,33.7,0,0,0,0.77,0.77,0,0,0,0,0.77,0,0.77,0,3.06,0,0,195.32,0.77,23.74,0.77,0,0.77,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,41.16,1.96,1.96,0,3.92,0,0,0,0,0,0,0,0,0,1.96,0,0,219.5,0,11.76,0,0,1.96,0,0,0,1.96,0,0,0,0,0
