stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,otic,periderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0
 24-34,0,0.82,0.82,0,0,0,0.82,0,0,0,0.82,3.28,0,0,2.46,1.64,4.1,0,0
 36-46,0,0,14.5,0,0,0,0,0,0,1.61,2.42,11.28,0,0,3.22,0,2.42,0,0
 48-58,0,2.87,12.05,0,0.57,0,0,0.57,0,0.57,0,5.16,0,0,2.87,0,1.15,0,0
 60-70,0,0.98,10.8,0,0,0,0,0,0,0,0.98,0.98,0,0.98,1.96,0,0.98,0,0
 72-82,0.98,0,1.96,0,0.98,0.98,0,0,0,0.98,0,2.94,0,0,0.98,0,0.98,0,0
 84-94,0,2.12,2.12,1.06,1.06,1.06,0,0,0,2.12,0,0,0,0,0,0,0,0,1.06
 96-106,0,4.37,2.19,0,1.09,0,0,0,0,0,2.19,2.19,0,0,0,0,0,0,0
108-118,0,1.53,3.06,0,0.77,0,0,0,0.77,0.77,1.53,1.53,0,0.77,2.3,0,0,0.77,0.77
120,1.96,1.96,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0
