stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,17,1,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,11,0,0,0,5,3,0,2,0,0,2,0,0
 24-34,0,0,0.82,0,19.7,0,0,4.93,4.93,0,0.82,0,0,0,0,1.64,0,1.64,0,1.64,0.82,0,0,22.98,0.82,0.82,1.64,38.58,0.82,1.64,9.03,0,0,2.46,0,0
 36-46,0,0,0,0,8.06,0,0,2.42,4.03,0.81,5.64,0,0,0.81,1.61,0,0.81,1.61,0,5.64,3.22,0.81,0.81,16.11,0,0,0.81,37.87,0.81,0.81,6.45,0,0,1.61,0,0
 48-58,0,0,0,0.57,8.61,0,0,3.44,5.16,0.57,5.74,0.57,0,1.15,2.3,1.72,0,1.15,0,8.61,0.57,0,2.87,13.2,0,0,1.72,21.8,0,0.57,7.46,0,0,1.72,0,0
 60-70,0,0,0,0,8.83,0,0,4.91,6.87,0,13.74,0.98,0,2.94,4.91,0,0,0.98,0,11.78,0.98,0,1.96,4.91,0,0.98,2.94,29.45,0,0,2.94,0.98,0,0.98,0,0.98
 72-82,0,0,0.98,0,14.72,0.98,0,2.94,5.89,0,20.61,1.96,0,0.98,6.87,1.96,0,1.96,2.94,25.52,0.98,0,4.91,8.83,0,0.98,4.91,26.5,0,1.96,4.91,2.94,0,10.8,0.98,0.98
 84-94,0,0,2.12,0,30.8,0,2.12,11.68,10.62,0,8.5,11.68,0,2.12,12.74,5.31,1.06,1.06,2.12,10.62,4.25,1.06,2.12,3.19,1.06,5.31,6.37,82.84,0,2.12,2.12,2.12,0,6.37,0,0
 96-106,0,0,2.19,0,45.9,0,0,6.56,8.74,1.09,8.74,13.11,0,1.09,17.49,1.09,0,4.37,1.09,18.58,2.19,1.09,2.19,10.93,1.09,2.19,3.28,63.39,1.09,1.09,2.19,4.37,0,12.02,1.09,0
108-118,0,0,0,0,45.19,0.77,0,3.83,12.26,0,16.09,9.19,0,0.77,13.79,3.06,0,8.43,1.53,13.02,2.3,0,0,8.43,0.77,0,3.06,42.13,0,0.77,0,3.83,0,9.19,0,0.77
120,0,0,0,0,48.99,0,0,1.96,5.88,0,7.84,15.68,0,0,7.84,1.96,0,1.96,1.96,3.92,1.96,1.96,0,9.8,0,1.96,1.96,31.36,0,0,0,3.92,1.96,13.72,0,0
