stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,7.89,2.63,13.14,0,0,15.77,0,0,0,10.51,0,0,0,0,0,0,0,0,141.95,5.26,0,0,68.35,0,5.26,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,135.32,0,0,0,75.53,0,0,0,6.29,0,0,0,0
 14-21,0,0,1,6,3,3,0,0,0,0,0,1,0,0,0,4,0,3,41,1,2,0,2,7,1,19,0,4,21,2,0
 24-34,0,0,0.82,0.82,8.21,6.57,0,0.82,0,0,0,0.82,0.82,0,0,3.28,0,4.1,27.09,0,1.64,0.82,0,18.06,0,0,0,0,4.1,0.82,0
 36-46,0,0,0,0.81,11.28,2.42,0.81,0,0,0,0,0,0,0,0,3.22,0,2.42,6.45,0,0.81,0.81,0,12.09,0,0,0,0,2.42,0,0.81
 48-58,0,0,0,1.15,25.25,3.44,0,0.57,0,0,0,0,0,0,0,1.15,0,0.57,4.02,0,0,0,0,4.59,0,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,2.94,0.98,0,0.98,0,0,0.98,0,0,0,0,0,0,0,3.93,0,0,0,0,0.98,0,0,0,0,0,0.98,0
 72-82,0,0,0,1.96,1.96,2.94,0,0,0,0,0,0,0,0,0,2.94,0,0,3.93,0,0,0.98,0,4.91,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.19,0,1.06,1.06,0,1.06,0,0,1.06,0,0,1.06,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,2.19,0,0,0,1.09,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0
108-118,0,0,0,3.83,3.06,1.53,0,0.77,0.77,0,0.77,0,0,0,0.77,3.06,0,0,1.53,0,0,0.77,0,4.6,0,0,0,0,0,0,0
120,0,0,0,3.92,0,0,0,0,0,0,1.96,0,0,0,0,5.88,0,0,0,0,0,0,0,3.92,1.96,0,0,0,0,0,0
