stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,5,1,0,0,0,4,0,0,0,0,2,1,14,3,0,0,0,4,2,3,8,0,0,0,0
 24-34,0.82,0,2.46,0.82,0.82,0.82,0,0,0.82,0.82,3.28,0,36.94,0,0.82,0,0,0,0,0,7.39,0,1.64,0,0
 36-46,0.81,0,0.81,0,0,0.81,0,0,0,0,0.81,0,17.72,0,0,0,0,0,0,0,8.86,0,0,0,0
 48-58,1.15,0,10.9,0,0,0.57,0,0,0,0.57,2.87,0.57,35,0.57,0,0,0,0,0,0,6.89,0,0,0,0.57
 60-70,0.98,0,11.78,0,0,1.96,0,0,0,0,2.94,0,15.7,0,0,0,0,0,0,0,2.94,0,0,0,0
 72-82,0.98,0.98,9.82,0,0,0.98,0,0.98,0,0,0,0,21.6,0.98,1.96,0,0.98,0,0,0,2.94,0.98,1.96,0.98,0
 84-94,0,0,2.12,0,0,4.25,2.12,0,0,0,3.19,0,10.62,0,0,1.06,2.12,0,0,0,4.25,0,3.19,0,1.06
 96-106,5.46,0,5.46,1.09,0,1.09,0,5.46,0,0,0,0,13.11,0,0,0,3.28,0,0,0,1.09,0,0,0,1.09
108-118,1.53,0,5.36,0.77,0,3.06,0,10.72,0,0,0.77,0.77,10.72,0,0,0,0,0,0,0,0.77,0,2.3,0,0
120,3.92,0,0,0,0,0,1.96,15.68,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,1.96,0,0
