stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,474.41,6338.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0
  5-6,208.41,2341.52,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,104.2,0,0,0,36.78,49.04,0,0,0,0,0,0
  7-9,10.51,5.26,0,13.14,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,197.15,7.89,0,0,57.83,0,10.51,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,4,1,1,0,0,0,0,4,2,1,0,1,0,0,10,2,0,3,0,0,0
 24-34,0,0,0.82,0,3.28,0,0,0,4.93,0,0.82,0.82,0.82,0,0,0.82,1.64,11.49,0.82,7.39,0,0,25.45,0,0,8.21,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,1.61,0,0.81,0,0,0,0,4.03,0,4.83,0,14.5,0,0,13.7,0,0.81,8.86,0,0.81,0
 48-58,0,0,1.15,0,1.15,0,1.15,0,2.3,0,0,0,0,0,0.57,4.59,0.57,2.87,0,5.16,0,0,3.44,0,0,8.03,0,0,0
 60-70,0,0,0.98,0,0,0,0.98,0,6.87,0.98,0,0,0,0,0,6.87,0,9.82,0,7.85,0,0,3.93,0.98,0,0.98,0,0,0.98
 72-82,0,0,5.89,0,0,0.98,0.98,0.98,5.89,2.94,0.98,0,0,0,0,7.85,0.98,18.65,0,15.71,0,0,3.93,0,0,3.93,0.98,0,0
 84-94,0,0,9.56,0,2.12,1.06,2.12,0,6.37,4.25,0,0,0,1.06,1.06,5.31,0,12.74,0,9.56,1.06,0,3.19,0,0,2.12,0,0,0
 96-106,0,0,6.56,0,3.28,1.09,1.09,0,2.19,8.74,1.09,0,0,1.09,0,5.46,0,12.02,0,17.49,0,0,6.56,0,0,1.09,1.09,0,0
108-118,0,0,6.89,0,6.13,1.53,0.77,0,3.06,0.77,0,0,0,3.06,0,2.3,0,13.79,0,13.02,1.53,0,1.53,0.77,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,3.92,0,15.68,0,1.96,0,0,1.96,0,0,1.96,0,0,0
