stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,6,19,3,7,0,0,0,8,3,0,0,0,0,0,0,1,13,0,38,249,210,0,3,5,0,0,1,20,0,34,128,0,0,0,0,0
 24-34,0,0.82,1.64,3.28,0,19.7,0,0,0,5.75,0,0,0.82,1.64,0,0.82,0,0,17.24,0.82,9.03,219.99,70.59,0.82,6.57,0,0,0.82,0,0.82,0,4.1,83.73,0,0,2.46,0,0
 36-46,0,0,0,0,0,9.67,0,0,0.81,2.42,0,0,0,0,0,0.81,0,0,12.89,0.81,2.42,47.53,53.17,0,0,0,0,0,0,0,0.81,0,14.5,0,0,0.81,0,0
 48-58,0,0,0,2.3,0,35.58,0.57,0.57,0.57,2.3,0,0.57,0,0,0.57,1.72,0,0,27.54,1.15,4.02,61.4,24.1,0.57,0.57,0,0,0.57,0,0.57,0,0,24.67,0,0,1.72,0,1.15
 60-70,0,0.98,0,0.98,0.98,81.47,0,0,0.98,10.8,0,0,0.98,0,0,3.93,0,0,60.85,0,6.87,166.86,4.91,0.98,1.96,0,0,0.98,0,0,0,0,37.3,0,0.98,1.96,0,0
 72-82,0,2.94,0,0,0,11.78,0,0,0.98,2.94,0,0,0,0,0,10.8,0,0,10.8,0.98,0.98,19.63,7.85,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0,0,0
 84-94,0,0,0,4.25,1.06,16.99,0,0,0,6.37,0,0,1.06,0,1.06,13.81,0,0,29.74,1.06,2.12,60.54,10.62,0,1.06,0,1.06,2.12,0,0,0,0,11.68,0,1.06,0,2.12,0
 96-106,0,0,0,2.19,0,7.65,0,0,0,1.09,0,1.09,0,1.09,1.09,29.51,0,0,12.02,1.09,4.37,24.04,6.56,1.09,3.28,0,0,3.28,0,0,0,0,0,0,0,1.09,0,0
108-118,0,1.53,0,0.77,0,10.72,0,0,0.77,6.89,0,0,1.53,0.77,0.77,11.49,0,0,18.38,0,0.77,45.96,9.96,0.77,3.83,0,0.77,1.53,0,0,0,0,2.3,0.77,0,0,0.77,0
120,1.96,0,0,3.92,0,3.92,0,0,0,1.96,0,0,0,0,0,11.76,1.96,0,1.96,0,0,25.48,11.76,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0
