stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,7,1,1,0,0,0,0,0,0,0,0,0,5,0,0,19,0,0,0,0,0,0,10,0,0,0,0,0
 24-34,0,3.28,0,4.1,0,0.82,0,3.28,0,0,0,0,0,2.46,0,0,51.71,0,0,0,0,0,0.82,12.31,0,0,0,0,0
 36-46,0,0.81,0,4.83,0,1.61,0,0,0,0,0,0,0,4.83,0,0,118.43,0,0,0,0,0,0,38.67,0,0,0,0,0
 48-58,0,0.57,0,5.74,0.57,0.57,0,4.59,0,0,0,0.57,0,14.92,0,0.57,154.93,0.57,0.57,0,0.57,0,0,17.79,0,0.57,1.15,0,0
 60-70,0,0,0,17.67,0,0,0,6.87,0,0,0,0,0,27.48,0.98,0,333.72,0,0,0,2.94,0,0,31.41,0,0.98,0.98,0,1.96
 72-82,1.96,3.93,1.96,42.21,0,0,0.98,10.8,1.96,0,0,0.98,0,43.19,0.98,3.93,389.72,0,2.94,0,0.98,0,0,27.49,0,2.94,0.98,1.96,0.98
 84-94,0,3.19,0,28.68,0,0,0,16.99,2.12,1.06,3.19,0,0,31.86,0,0,241.08,2.12,2.12,0,2.12,0,0,12.74,0,1.06,2.12,1.06,0
 96-106,0,4.37,2.19,31.69,0,0,0,14.21,3.28,1.09,0,0,1.09,36.06,0,0,205.46,1.09,2.19,6.56,0,0,0,12.02,0,0,3.28,2.19,1.09
108-118,0,0.77,0,27.57,0,0,0.77,24.51,1.53,1.53,0,0,0,33.7,0,0.77,208.34,1.53,0.77,3.06,0.77,0.77,0,4.6,0.77,0,0,2.3,0
120,0,1.96,0,19.6,0,0,1.96,29.4,1.96,0,0,0,0,29.4,0,0,248.89,3.92,0,1.96,3.92,0,0,11.76,0,1.96,3.92,0,0
