stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,heart,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
 24-34,0,0,0.82,3.28,0,0,0,0,0,3.28,0,0,4.93,2.46,0,0,0,0,0,0.82
 36-46,0,0,1.61,0.81,0,0,0.81,0,0,9.67,0.81,0,4.03,3.22,0.81,0,0.81,0,0,0
 48-58,0,0,0.57,2.87,0.57,0,0,0,0,10.33,0.57,0.57,2.3,1.72,0,0,0,0,0,0
 60-70,0,0,0.98,6.87,0,0,0,0,0,18.65,0,0,3.93,2.94,0,0,0,0,0,0
 72-82,0,0,0,9.82,0,1.96,0,0,0,14.72,0,0,1.96,4.91,0,0,0.98,0,0,0
 84-94,0,1.06,0,4.25,0,4.25,0,5.31,0,12.74,0,1.06,4.25,0,0,1.06,1.06,0,0,0
 96-106,0,0,0,6.56,0,1.09,0,4.37,0,14.21,0,1.09,4.37,7.65,0,0,1.09,0,1.09,0
108-118,0,0,0,3.83,0,2.3,0,13.02,0.77,17.62,0,0,3.06,3.83,0,0.77,0,0.77,0.77,0
120,0,0,0,1.96,1.96,1.96,0,1.96,0,17.64,1.96,0,1.96,0,0,0,0,0,0,0
