stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,presomitic.mesoderm,spinal.cord,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
 14-21,0,3,0,1,0,1,0,1,0,0,0,0,1,0,0,1,9,0,1,0,1,2,0
 24-34,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0.82,0,0,22.16,0,0,0,0,2.46,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0,3.22,0,0,0,51.56,0,0,0,0,11.28,0
 48-58,0,0.57,0.57,7.46,0,1.72,0,0.57,0,0,0,0,3.44,0,0,0,43.61,0,0,0,0,10.33,0
 60-70,0,0,0,5.89,0,0.98,0,0,0,0,0,0,0.98,0,0,0.98,38.28,0,0,0,0,2.94,0
 72-82,0,0,0,4.91,0,2.94,1.96,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0.98,0.98
 84-94,0,0,0,4.25,0,5.31,0,0,1.06,0,0,1.06,2.12,0,1.06,0,6.37,0,0,1.06,0,2.12,0
 96-106,0,0,0,2.19,1.09,2.19,1.09,0,0,1.09,1.09,0,0,0,0,0,4.37,1.09,0,0,0,0,2.19
108-118,0,0.77,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0.77,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
