stage,epidermis,eye,heart,immune,mesenchyme,mural.cell,muscle,neural,otic,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0.82,0,0.82
 36-46,0,0,1.61,0.81,1.61,0,0,0,0,0.81,0,0
 48-58,0,0.57,0.57,0.57,1.15,0,0.57,0,0.57,2.3,0,0.57
 60-70,0,0,0,3.93,7.85,0,0,0,0,1.96,0,0.98
 72-82,0,0.98,1.96,1.96,8.83,0,0,0,0,1.96,0.98,1.96
 84-94,0,0,0,8.5,5.31,0,1.06,0,0,1.06,0,2.12
 96-106,0,0,0,14.21,9.84,0,0,1.09,0,3.28,0,0
108-118,0.77,0,0,9.19,9.19,0.77,0,0.77,0,2.3,0,2.3
120,0,0,1.96,3.92,9.8,0,0,0,0,0,0,0
