stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,2,3,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,4.83,0.81,0,2.42,0,0.81,0,0,2.42,0,52.37,1.61,0,1.61,0,0,13.7,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,1.96,0.98,0,0,0,1.96,0,0,0.98,0,1.96,0.98,0.98,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,3.19,0,3.19,1.06,0,0,0,0,2.12,0,4.25,0,1.06,1.06,0,0,0,0,1.06
 96-106,0,0,0,6.56,0,0,1.09,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0.77,0.77,0.77,0,0,0,0.77,3.06,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
