stage,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,5,4,1,0,0,5,1,30,3,0
 24-34,0,0,0,0,0,0,0.82,6.57,4.1,0,0,0,0,0,1.64,2.46,0.82
 36-46,0,0.81,0,0,0.81,0,1.61,0.81,6.45,0,0,0,0,0,0,1.61,0
 48-58,0,0,0.57,0,0,0,1.15,0.57,4.59,0.57,0,0,0,0,0,1.72,0
 60-70,0,0,0,0,0,0,0.98,0,5.89,0,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,0,0,2.94,0,2.94,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,2.12,1.06,2.12,0,0,1.06,0,0,0,0,0
 96-106,0,0,2.19,0,0,0,1.09,0,3.28,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0.77,0.77,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0
