stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,52.57,0,0,0,97.26,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,544.14,15.77,0,0,283.9,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,31.47,0,0,0,78.67,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,579.04,6.29,0,0,412.25,0,0,9.44,3.15,18.88,0,9.44,0,0,0,0,0
 14-21,0,0,8,200,46,0,88,0,0,0,23,10,0,5,0,0,0,0,1,6,96,0,0,134,1441,4,2,21,31,0,2,1,556,2,55,1334,485,0,28,0,1
 24-34,0,0,2.46,102.61,8.21,0,131.34,0.82,8.21,11.49,41.86,0.82,0,4.93,0,1.64,2.46,1.64,0.82,4.93,259.39,0.82,0,175.66,2301.68,0.82,0,28.73,0,0,4.93,0,4.1,0.82,8.21,227.38,560.64,0,64.85,0,0.82
 36-46,0,0,0,32.23,0.81,0,120.85,0.81,10.47,23.36,88.62,0,0,1.61,0,0,0.81,4.83,0.81,0.81,306.96,0,4.83,99.9,1271.35,0,1.61,14.5,0,0.81,4.83,0,0,0,0.81,0.81,349.66,0,23.36,0,1.61
 48-58,0.57,0,0,26.97,0,0,110.74,0.57,13.2,23.53,110.74,0,0,3.44,0.57,0.57,0.57,0,0.57,0,456.17,1.15,8.03,88.37,472.24,0,0,14.35,0,0.57,1.72,0,0,0,1.72,0,142.3,0,13.77,0,0.57
 60-70,0.98,0,0,33.37,0,0,66.74,0,10.8,25.52,103.06,0,0,0.98,0,0.98,0,0.98,0,0,488.8,0,8.83,57.91,237.53,0.98,1.96,13.74,0,3.93,1.96,0,0,0,0,0,38.28,6.87,10.8,3.93,0.98
 72-82,0,0,0,41.23,0,0.98,85.4,1.96,9.82,53.01,135.47,0.98,0,7.85,0,1.96,0,0.98,0,0,817.72,0.98,32.39,100.13,210.08,0.98,0,26.5,0,9.82,0,0,0,0,0,0,10.8,19.63,15.71,19.63,1.96
 84-94,1.06,0,0,40.36,2.12,0,87.09,3.19,12.74,43.54,81.78,2.12,0,4.25,1.06,5.31,2.12,1.06,0,2.12,506.59,0,13.81,69.03,157.18,0,2.12,16.99,0,3.19,3.19,0,0,0,0,0,8.5,10.62,14.87,12.74,4.25
 96-106,0,0,0,46.99,0,2.19,79.78,2.19,12.02,34.97,77.59,0,0,3.28,3.28,0,2.19,3.28,0,1.09,520.2,1.09,22.95,61.2,150.81,1.09,3.28,42.62,0,10.93,1.09,0,0,1.09,0,0,9.84,10.93,14.21,12.02,0
108-118,0,0,0,56.68,0,1.53,58.98,3.83,26.04,26.04,90.38,0.77,0,4.6,1.53,5.36,2.3,0.77,1.53,1.53,449.62,0.77,13.79,55.15,190.72,0,3.83,36.77,0,6.89,3.06,0,0,0,0,0,3.83,4.6,15.32,13.79,0.77
120,0,0,0,45.08,0,1.96,43.12,0,15.68,15.68,74.47,3.92,0,9.8,0,0,0,0,0,0,364.52,1.96,17.64,33.32,190.1,1.96,1.96,41.16,0,7.84,0,0,0,0,1.96,0,3.92,13.72,7.84,17.64,3.92
