stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,0,0,29,0,0,0,0,0,0,0,0,0,2,0,41,4,0,0,1,26,10,0,5,0,0,0,0,2,0,0,5,0,0,0,63
 24-34,0,0,0.82,5.75,0,0,20.52,0,1.64,0,0,0,0,0,0,0.82,2.46,0,59.1,10.67,0.82,0,3.28,50.07,0,1.64,9.85,0,0,3.28,0,27.91,0,0.82,9.85,0,2.46,0,221.63
 36-46,0.81,0,0,3.22,0,0,17.72,0,0.81,0,3.22,0,0,0.81,0,1.61,0.81,0,47.53,2.42,0,0,2.42,38.67,1.61,0,8.06,0,0,0.81,0,15.31,0.81,0,4.83,0,1.61,0,232.03
 48-58,0,0,0,6.89,0,0,43.61,0,0.57,0.57,5.74,0,0,0,0.57,0,3.44,0,47.05,8.61,0,0,1.72,40.74,0,0,8.61,0,0,0.57,0,10.33,0,0,5.74,0,0.57,0,288.05
 60-70,0,0,0,4.91,0.98,0,39.26,0,0.98,0,7.85,0,0,0,0,0,0,0,24.54,8.83,0,0,0.98,23.56,0,0,9.82,0,0,0.98,0,5.89,0,0,3.93,0,0,0,265.99
 72-82,0,0,0,7.85,1.96,0,70.68,0,0.98,0,18.65,2.94,0,0,0,0,1.96,0,36.32,10.8,0,0,0,12.76,0,0.98,18.65,0,0,1.96,0,38.28,0,0,0.98,0,0.98,0.98,206.15
 84-94,0,0,0,9.56,0,0,113.64,0,0,0,2.12,2.12,0,0,0,2.12,7.43,1.06,35.05,5.31,1.06,1.06,2.12,8.5,0,0,7.43,0,0,4.25,0,69.03,0,0,1.06,1.06,0,1.06,163.55
 96-106,0,0,0,7.65,0,0,89.61,0,1.09,0,5.46,2.19,0,0,1.09,0,2.19,0,22.95,5.46,0,1.09,3.28,7.65,0,0,15.3,0,0,3.28,0,75.41,0,0,1.09,0,1.09,1.09,157.37
108-118,0,0,0,5.36,0.77,1.53,91.15,0.77,0.77,0,6.13,0.77,0,0,0.77,0,2.3,0,32.17,6.89,0,0,0.77,7.66,0,0,15.32,0,0.77,0,0,75.06,0,0,2.3,0,0,0,145.53
120,0,0,0,7.84,0,0,25.48,0,3.92,0,0,0,0,0,1.96,0,1.96,0,9.8,5.88,0,0,0,1.96,0,0,11.76,0,0,0,0,58.79,0,0,0,0,1.96,0,52.91
