stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,notochord,periderm,somites,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0,0.82,0,0,0,0,0,0.82,0,4.93,0.82,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0
 48-58,0,0,0.57,0.57,0,0,0,0,0,5.16,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0.98,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,4.25,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0
