stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,355.8,5837.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0,0
  5-6,392.3,4339.78,6.13,0,0,0,0,0,0,0,0,0,0,116.46,12.26,0,0,61.3,134.85,0,0,0,0,0,0
  7-9,44.69,70.98,84.12,0,0,170.87,0,0,57.83,0,0,0,0,1401.1,49.95,0,0,483.68,2.63,10.51,0,0,0,0,0
 10-12,0,34.62,25.18,0,3.15,56.65,0,0,9.44,0,0,0,0,462.6,12.59,0,0,226.58,3.15,0,0,18.88,0,3.15,0
 14-21,0,0,4,45,5,44,2,2,0,1,0,19,12,211,6,3,2,10,2,1,27,7,4,37,58
 24-34,0,0,0,0,0.82,4.1,0,0,0,0,0,1.64,4.1,27.09,0.82,0,0,0,6.57,0,0,0,0,0,7.39
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,3.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
