stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,14,0,0,1,0,0,0,1,0,4,8,0,0,0,0
 24-34,0,0,0,0,0,0,2.46,0,0,0,1.64,0.82,0,0,0,0,0,0,9.85,0,2.46,51.71,0,0.82,0.82,0,0,5.75,0,0,1.64,15.6,0,0,3.28,0
 36-46,0,0,0,2.42,0,0,7.25,0,0,0,0.81,0.81,0,0,0,0,0.81,0,3.22,0,3.22,28.2,0,0.81,0,0,0,4.83,0,0,0,7.25,0,0,0,0
 48-58,0.57,0,0,0,0.57,0,17.79,0,0,1.72,6.89,0,0.57,0,0.57,0,0.57,0.57,12.05,0.57,0,46.48,0,1.15,1.15,0,0.57,2.87,0,0,0,16.07,0,0,1.15,0
 60-70,0,0,0,0.98,0,0,16.69,0,0,0.98,8.83,0,0,0,0.98,0,0,1.96,3.93,0.98,0,40.24,0,0.98,0,0,0,4.91,0,0,0,5.89,0,0,0,0.98
 72-82,0,0,0,2.94,0,0,16.69,0,0.98,1.96,13.74,1.96,0,0,0,0.98,1.96,0,25.52,2.94,2.94,33.38,0,0.98,0,0,0,3.93,0,0,0,3.93,0.98,0,2.94,0
 84-94,0,1.06,0,3.19,0,0,10.62,0,0,0,7.43,0,0,1.06,0,1.06,0,0,12.74,1.06,1.06,9.56,1.06,0,1.06,0,0,7.43,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,0,3.28,0,0,6.56,1.09,0,0,6.56,0,0,1.09,0,2.19,1.09,0,16.39,2.19,1.09,17.49,1.09,1.09,3.28,0,0,4.37,0,1.09,0,3.28,0,2.19,4.37,0
108-118,0,0,0,2.3,0,0.77,6.89,0,0,0,3.83,0.77,0.77,0.77,0,0,0,0.77,6.89,0,1.53,14.55,0,1.53,0.77,0,0,3.06,0,0,0,0,0,0.77,0.77,0.77
120,0,0,0,3.92,0,0,7.84,0,1.96,0,3.92,0,0,0,0,0,0,0,9.8,0,0,5.88,0,0,0,0,0,3.92,0,0,0,0,0,0,3.92,0
